best_fitness:17183.30074698628|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[13.21 CD]~[14.00 CR]~[16.32 EM]~[5.83 HP%]-[46.60 HP%]~[37.03 DEF]~[48.63 ATK]~[2.72 CR]~[12.31 ER]-[46.60 Pyro]~[20.98 CD]~[18.65 EM]~[43.98 DEF]~[7.39 CR]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:2947324.9389834325|mean:9824.416463278108
best_fitness:17452.538530956117|best_individual:[[4780.00 HP]~[15.15 ATK%]~[37.30 EM]~[5.25 HP%]~[35.01 ATK]-[311.00 ATK]~[39.63 EM]~[9.91 ATK%]~[9.91 HP%]~[5.83 CR]-[46.60 ATK%]~[4.66 HP%]~[41.67 DEF]~[6.22 CR]~[19.43 CD]-[46.60 Pyro]~[6.99 CD]~[48.64 ATK]~[5.83 CR]~[10.93 DEF%]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3005121.91939651|mean:10017.073064655033
best_fitness:17452.538530956117|best_individual:[[4780.00 HP]~[5.83 ATK%]~[9.72 CR]~[4.66 HP%]~[60.19 DEF]-[311.00 ATK]~[15.74 ATK%]~[55.55 DEF]~[5.10 DEF%]~[4.66 HP%]-[51.80 ER]~[19.43 CD]~[8.74 ATK%]~[7.78 CR]~[19.45 ATK]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[187.00 EM]~[21.75 CD]~[3.50 CR]~[37.03 DEF]~[8.74 HP%]]|sum:2971546.5916600516|mean:9905.155305533506
best_fitness:17452.538530956117|best_individual:[[4780.00 HP]~[5.83 ATK%]~[9.72 CR]~[4.66 HP%]~[60.19 DEF]-[311.00 ATK]~[15.74 ATK%]~[55.55 DEF]~[5.10 DEF%]~[4.66 HP%]-[51.80 ER]~[19.43 CD]~[8.74 ATK%]~[7.78 CR]~[19.45 ATK]-[46.60 Pyro]~[18.52 DEF]~[8.16 HP%]~[10.11 CR]~[44.29 EM]-[187.00 EM]~[21.75 CD]~[3.50 CR]~[37.03 DEF]~[8.74 HP%]]|sum:3003730.2533729626|mean:10012.434177909876
best_fitness:17990.946780182745|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[9.91 HP%]~[13.12 DEF%]~[18.65 EM]~[50.92 DEF]-[46.60 HP%]~[9.33 CR]~[16.20 DEF]~[36.96 ATK]~[10.36 ER]-[46.60 Pyro]~[19.45 ATK]~[11.01 ER]~[14.57 HP%]~[9.91 ATK%]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3008648.1890432476|mean:10028.827296810825
best_fitness:18160.732534852348|best_individual:[[4780.00 HP]~[5.83 DEF%]~[27.24 ATK]~[8.94 CR]~[10.49 HP%]-[311.00 ATK]~[9.72 CR]~[34.97 EM]~[9.32 HP%]~[4.08 ATK%]-[46.60 ATK%]~[36.96 ATK]~[10.11 CR]~[6.22 CD]~[12.39 DEF%]-[46.60 Pyro]~[62.94 EM]~[16.20 DEF]~[4.08 ATK%]~[19.42 CD]-[31.10 CR]~[5.44 CD]~[53.23 DEF]~[39.63 EM]~[9.33 HP%]]|sum:2979548.385057379|mean:9931.827950191264
best_fitness:18160.732534852348|best_individual:[[4780.00 HP]~[35.02 ATK]~[13.85 DEF%]~[39.35 DEF]~[9.91 ATK%]-[311.00 ATK]~[5.83 ATK%]~[9.33 CR]~[44.29 EM]~[11.66 HP%]-[46.60 ATK%]~[16.76 DEF%]~[39.35 DEF]~[13.21 CD]~[4.08 HP%]-[46.60 ATK%]~[39.63 EM]~[39.35 DEF]~[35.02 ATK]~[10.49 HP%]-[35.90 Healing]~[17.87 CD]~[9.91 HP%]~[3.50 CR]~[32.64 EM]]|sum:2968424.5745808|mean:9894.748581935999
best_fitness:18160.732534852348|best_individual:[[4780.00 HP]~[5.83 DEF%]~[27.24 ATK]~[8.94 CR]~[10.49 HP%]-[311.00 ATK]~[11.66 ATK%]~[5.44 CD]~[43.98 DEF]~[20.41 DEF%]-[187.00 EM]~[24.62 ER]~[15.56 ATK]~[20.83 DEF]~[9.91 HP%]-[187.00 EM]~[23.15 DEF]~[18.95 DEF%]~[10.88 CD]~[6.61 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:2978764.8636144465|mean:9929.216212048155
best_fitness:18160.732534852348|best_individual:[[4780.00 HP]~[5.83 DEF%]~[27.24 ATK]~[8.94 CR]~[10.49 HP%]-[311.00 ATK]~[11.66 ATK%]~[5.44 CD]~[43.98 DEF]~[20.41 DEF%]-[187.00 EM]~[24.62 ER]~[15.56 ATK]~[20.83 DEF]~[9.91 HP%]-[187.00 EM]~[23.15 DEF]~[18.95 DEF%]~[10.88 CD]~[6.61 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:2978358.699468548|mean:9927.862331561826
best_fitness:18160.732534852348|best_individual:[[4780.00 HP]~[5.83 DEF%]~[27.24 ATK]~[8.94 CR]~[10.49 HP%]-[311.00 ATK]~[11.66 ATK%]~[5.44 CD]~[43.98 DEF]~[20.41 DEF%]-[187.00 EM]~[24.62 ER]~[15.56 ATK]~[20.83 DEF]~[9.91 HP%]-[187.00 EM]~[23.15 DEF]~[18.95 DEF%]~[10.88 CD]~[6.61 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:2972477.85564701|mean:9908.259518823366
best_fitness:18160.732534852348|best_individual:[[4780.00 HP]~[5.83 DEF%]~[27.24 ATK]~[8.94 CR]~[10.49 HP%]-[311.00 ATK]~[11.66 ATK%]~[5.44 CD]~[43.98 DEF]~[20.41 DEF%]-[187.00 EM]~[24.62 ER]~[15.56 ATK]~[20.83 DEF]~[9.91 HP%]-[187.00 EM]~[23.15 DEF]~[18.95 DEF%]~[10.88 CD]~[6.61 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:3028939.233678671|mean:10096.464112262236
