best_fitness:17659.445624114596|best_individual:[[4780.00 HP]~[15.74 HP%]~[37.03 DEF]~[15.56 ATK]~[9.91 ATK%]-[311.00 ATK]~[4.08 ATK%]~[16.32 EM]~[10.49 HP%]~[26.42 CD]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[187.00 EM]~[20.20 CD]~[5.83 DEF%]~[5.83 HP%]~[57.87 DEF]]|sum:2936763.418507149|mean:9789.211395023829
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[16.84 ER]~[9.72 CR]~[5.83 ATK%]~[5.25 HP%]-[311.00 ATK]~[37.03 DEF]~[15.74 ATK%]~[6.22 CD]~[39.63 EM]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[44.29 EM]~[46.30 DEF]~[9.91 ATK%]~[12.39 DEF%]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:2992423.319911149|mean:9974.74439970383
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[4.08 HP%]~[20.41 DEF%]~[13.21 CD]~[34.72 DEF]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[58.30 Physical]~[71.75 DEF]~[6.22 CR]~[19.45 ATK]~[6.56 DEF%]-[31.10 CR]~[10.36 ER]~[46.62 EM]~[35.02 ATK]~[11.66 DEF%]]|sum:2978312.017039962|mean:9927.706723466541
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[34.97 EM]~[8.16 ATK%]~[13.99 CD]~[6.22 CR]-[311.00 ATK]~[3.89 CR]~[20.99 ATK%]~[10.20 DEF%]~[20.98 EM]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[46.60 Anemo]~[16.19 ER]~[5.25 ATK%]~[38.90 ATK]~[13.21 CD]-[31.10 CR]~[46.69 ATK]~[17.10 CD]~[18.52 DEF]~[20.98 EM]]|sum:3022948.220309668|mean:10076.494067698894
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[34.97 EM]~[8.16 ATK%]~[13.99 CD]~[6.22 CR]-[311.00 ATK]~[3.89 CR]~[20.99 ATK%]~[10.20 DEF%]~[20.98 EM]-[51.80 ER]~[9.72 CR]~[4.08 ATK%]~[55.95 EM]~[13.62 ATK]-[46.60 Anemo]~[16.19 ER]~[5.25 ATK%]~[38.90 ATK]~[13.21 CD]-[31.10 CR]~[46.69 ATK]~[17.10 CD]~[18.52 DEF]~[20.98 EM]]|sum:3003557.103280433|mean:10011.857010934777
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[9.91 ATK%]~[39.63 EM]~[37.04 DEF]~[35.01 ATK]-[311.00 ATK]~[6.61 CR]~[53.23 DEF]~[16.32 EM]~[11.01 ER]-[58.30 DEF%]~[4.08 HP%]~[5.44 CD]~[20.98 EM]~[85.59 ATK]-[46.60 Anemo]~[68.08 ATK]~[39.35 DEF]~[6.48 ER]~[6.99 CD]-[46.60 ATK%]~[3.11 CR]~[21.57 HP%]~[20.83 DEF]~[34.97 EM]]|sum:3005860.050000957|mean:10019.53350000319
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[5.83 ATK%]~[8.55 CR]~[23.31 EM]~[14.89 ER]-[311.00 ATK]~[39.35 DEF]~[13.21 CD]~[15.16 HP%]~[4.66 ATK%]-[187.00 EM]~[5.10 DEF%]~[22.16 ATK%]~[14.76 CD]~[2.72 CR]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[187.00 EM]~[6.48 ER]~[21.58 ATK%]~[33.07 ATK]~[6.56 DEF%]]|sum:3034076.9425556436|mean:10113.589808518813
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[5.83 ATK%]~[8.55 CR]~[23.31 EM]~[14.89 ER]-[311.00 ATK]~[39.35 DEF]~[13.21 CD]~[15.16 HP%]~[4.66 ATK%]-[187.00 EM]~[5.10 DEF%]~[22.16 ATK%]~[14.76 CD]~[2.72 CR]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[187.00 EM]~[6.48 ER]~[21.58 ATK%]~[33.07 ATK]~[6.56 DEF%]]|sum:3005651.351916845|mean:10018.837839722817
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[5.83 ATK%]~[8.55 CR]~[23.31 EM]~[14.89 ER]-[311.00 ATK]~[39.35 DEF]~[13.21 CD]~[15.16 HP%]~[4.66 ATK%]-[187.00 EM]~[5.10 DEF%]~[22.16 ATK%]~[14.76 CD]~[2.72 CR]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[187.00 EM]~[6.48 ER]~[21.58 ATK%]~[33.07 ATK]~[6.56 DEF%]]|sum:2986756.248938988|mean:9955.85416312996
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[15.15 ATK%]~[37.30 EM]~[5.25 HP%]~[35.01 ATK]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[44.29 EM]~[23.15 DEF]~[11.66 ATK%]~[46.69 ATK]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[35.90 Healing]~[10.36 ER]~[10.50 CR]~[11.66 CD]~[17.51 ATK]]|sum:3005328.907072392|mean:10017.76302357464
best_fitness:17812.341686107415|best_individual:[[4780.00 HP]~[15.15 ATK%]~[37.30 EM]~[5.25 HP%]~[35.01 ATK]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[44.29 EM]~[23.15 DEF]~[11.66 ATK%]~[46.69 ATK]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[35.90 Healing]~[10.36 ER]~[10.50 CR]~[11.66 CD]~[17.51 ATK]]|sum:3008497.8377081|mean:10028.326125693668
