best_fitness:25683.703509375006|best_individual:[[4780.00 HP]~[5.83 HP%]~[18.22 DEF%]~[13.21 CD]~[9.91 ATK%]-[311.00 ATK]~[13.12 DEF%]~[18.65 EM]~[10.88 CD]~[57.86 DEF]-[46.60 HP%]~[21.57 ATK%]~[6.56 DEF%]~[11.01 ER]~[20.98 EM]-[46.60 HP%]~[16.32 EM]~[16.32 ATK%]~[13.12 DEF%]~[7.78 CR]-[46.60 HP%]~[43.98 DEF]~[12.96 ER]~[52.52 ATK]~[16.32 EM]]|sum:5775821.484721876|mean:19252.73828240625
best_fitness:25942.262034375002|best_individual:[[4780.00 HP]~[62.50 DEF]~[11.66 ATK%]~[9.91 HP%]~[5.83 ER]-[311.00 ATK]~[55.55 DEF]~[2.72 CR]~[13.85 DEF%]~[11.01 ER]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[19.43 CD]~[11.66 DEF%]~[9.71 ER]~[17.51 ATK]]|sum:5730808.219940625|mean:19102.69406646875
best_fitness:25942.262034375002|best_individual:[[4780.00 HP]~[3.50 CR]~[14.57 ATK%]~[22.53 CD]~[5.83 DEF%]-[311.00 ATK]~[5.83 CR]~[16.91 HP%]~[5.18 ER]~[43.98 DEF]-[58.30 DEF%]~[8.94 CR]~[6.22 CD]~[13.41 HP%]~[23.31 EM]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[58.30 DEF%]~[9.06 ER]~[9.91 HP%]~[9.91 ATK%]~[39.35 DEF]]|sum:5754025.254553126|mean:19180.084181843755
best_fitness:25942.262034375002|best_individual:[[4780.00 HP]~[3.50 CR]~[14.57 ATK%]~[22.53 CD]~[5.83 DEF%]-[311.00 ATK]~[5.83 CR]~[16.91 HP%]~[5.18 ER]~[43.98 DEF]-[58.30 DEF%]~[8.94 CR]~[6.22 CD]~[13.41 HP%]~[23.31 EM]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[58.30 DEF%]~[9.06 ER]~[9.91 HP%]~[9.91 ATK%]~[39.35 DEF]]|sum:5710981.597359376|mean:19036.605324531254
best_fitness:26237.576428125|best_individual:[[4780.00 HP]~[5.18 ER]~[67.60 EM]~[23.15 DEF]~[14.57 HP%]-[311.00 ATK]~[9.71 ER]~[23.15 DEF]~[44.29 EM]~[14.57 ATK%]-[46.60 HP%]~[16.20 DEF]~[11.66 CD]~[9.32 ATK%]~[18.79 ER]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[46.60 HP%]~[17.51 ATK]~[5.83 ATK%]~[55.95 EM]~[14.24 ER]]|sum:5758717.9650375005|mean:19195.726550125
best_fitness:26237.576428125|best_individual:[[4780.00 HP]~[5.18 ER]~[67.60 EM]~[23.15 DEF]~[14.57 HP%]-[311.00 ATK]~[9.71 ER]~[23.15 DEF]~[44.29 EM]~[14.57 ATK%]-[46.60 HP%]~[16.20 DEF]~[11.66 CD]~[9.32 ATK%]~[18.79 ER]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[46.60 HP%]~[17.51 ATK]~[5.83 ATK%]~[55.95 EM]~[14.24 ER]]|sum:5728350.0127875|mean:19094.500042625
best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[9.33 HP%]~[11.01 ER]~[64.82 DEF]~[17.51 ATK]-[311.00 ATK]~[13.99 CD]~[10.93 DEF%]~[5.25 HP%]~[69.45 DEF]-[46.60 HP%]~[3.11 CR]~[19.24 ATK%]~[5.44 CD]~[11.01 ER]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5712764.890715625|mean:19042.54963571875
best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[9.33 HP%]~[11.01 ER]~[64.82 DEF]~[17.51 ATK]-[311.00 ATK]~[13.99 CD]~[10.93 DEF%]~[5.25 HP%]~[69.45 DEF]-[46.60 HP%]~[3.11 CR]~[19.24 ATK%]~[5.44 CD]~[11.01 ER]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5773198.509881251|mean:19243.995032937502
best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[9.33 HP%]~[11.01 ER]~[64.82 DEF]~[17.51 ATK]-[311.00 ATK]~[13.99 CD]~[10.93 DEF%]~[5.25 HP%]~[69.45 DEF]-[46.60 HP%]~[3.11 CR]~[19.24 ATK%]~[5.44 CD]~[11.01 ER]-[46.60 HP%]~[36.96 ATK]~[6.99 CD]~[60.61 EM]~[37.03 DEF]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5736565.583175001|mean:19121.885277250003
best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[8.55 CR]~[5.44 CD]~[11.66 DEF%]~[29.18 ATK]-[311.00 ATK]~[10.49 HP%]~[6.61 CR]~[4.53 ER]~[60.18 DEF]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[46.60 Cryo]~[8.16 CR]~[6.99 CD]~[13.99 ATK%]~[16.32 EM]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[4.08 HP%]~[16.19 ER]]|sum:5737705.0151062505|mean:19125.6833836875
best_fitness:26238.210150000003|best_individual:[[4780.00 HP]~[8.55 CR]~[5.44 CD]~[11.66 DEF%]~[29.18 ATK]-[311.00 ATK]~[10.49 HP%]~[6.61 CR]~[4.53 ER]~[60.18 DEF]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[46.60 Cryo]~[8.16 CR]~[6.99 CD]~[13.99 ATK%]~[16.32 EM]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[4.08 HP%]~[16.19 ER]]|sum:5767061.547243751|mean:19223.5384908125
