best_fitness:24393.445771875|best_individual:[[4780.00 HP]~[2.72 CR]~[35.01 ATK]~[11.01 ER]~[20.20 CD]-[311.00 ATK]~[5.83 CR]~[60.61 EM]~[5.83 DEF%]~[34.72 DEF]-[46.60 HP%]~[19.45 ATK]~[60.18 DEF]~[16.76 DEF%]~[6.22 CD]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[31.10 CR]~[65.27 EM]~[9.33 HP%]~[5.44 CD]~[12.31 ER]]|sum:5773008.39331875|mean:19243.3613110625
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[17.49 DEF%]~[10.50 ATK%]~[11.01 ER]~[5.25 HP%]-[46.60 HP%]~[13.12 DEF%]~[21.57 ATK%]~[7.77 CD]~[17.51 ATK]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5781439.42914375|mean:19271.4647638125
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[17.49 DEF%]~[10.50 ATK%]~[11.01 ER]~[5.25 HP%]-[46.60 HP%]~[13.12 DEF%]~[21.57 ATK%]~[7.77 CD]~[17.51 ATK]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5744634.763809375|mean:19148.782546031252
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[5.83 DEF%]~[20.83 DEF]~[20.98 CD]~[53.62 EM]-[311.00 ATK]~[10.20 DEF%]~[5.25 ATK%]~[16.19 ER]~[12.43 CD]-[58.30 DEF%]~[12.05 CR]~[4.66 HP%]~[5.44 CD]~[46.30 DEF]-[46.60 ATK%]~[18.07 HP%]~[31.13 ATK]~[4.53 ER]~[7.77 CD]-[31.10 CR]~[16.84 ER]~[9.33 ATK%]~[13.85 DEF%]~[6.22 CD]]|sum:5733836.776781251|mean:19112.789255937503
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[13.21 CD]~[41.67 DEF]~[31.12 ATK]~[32.64 EM]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[46.60 ATK%]~[10.93 DEF%]~[55.55 DEF]~[11.66 CD]~[15.56 ATK]-[46.60 ATK%]~[9.91 HP%]~[13.21 CD]~[18.52 DEF]~[18.22 DEF%]-[35.90 Healing]~[33.07 ATK]~[6.61 CR]~[7.29 DEF%]~[14.57 HP%]]|sum:5775936.822103126|mean:19253.12274034375
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[13.21 CD]~[41.67 DEF]~[31.12 ATK]~[32.64 EM]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[46.60 ATK%]~[10.93 DEF%]~[55.55 DEF]~[11.66 CD]~[15.56 ATK]-[46.60 ATK%]~[9.91 HP%]~[13.21 CD]~[18.52 DEF]~[18.22 DEF%]-[35.90 Healing]~[33.07 ATK]~[6.61 CR]~[7.29 DEF%]~[14.57 HP%]]|sum:5774936.1752625005|mean:19249.787250875
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[13.21 CD]~[41.67 DEF]~[31.12 ATK]~[32.64 EM]-[311.00 ATK]~[41.67 DEF]~[18.65 EM]~[10.36 ER]~[20.20 CD]-[46.60 ATK%]~[10.93 DEF%]~[55.55 DEF]~[11.66 CD]~[15.56 ATK]-[46.60 ATK%]~[9.91 HP%]~[13.21 CD]~[18.52 DEF]~[18.22 DEF%]-[35.90 Healing]~[33.07 ATK]~[6.61 CR]~[7.29 DEF%]~[14.57 HP%]]|sum:5764143.258009376|mean:19213.81086003125
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[37.30 EM]~[41.67 DEF]~[3.89 CR]~[48.63 ATK]-[311.00 ATK]~[5.83 CR]~[16.91 HP%]~[5.18 ER]~[43.98 DEF]-[46.60 ATK%]~[10.50 CR]~[5.44 CD]~[53.62 EM]~[5.83 ER]-[58.30 Physical]~[7.39 CR]~[19.45 ATK]~[16.76 DEF%]~[10.50 HP%]-[31.10 CR]~[21.37 ER]~[4.08 HP%]~[5.10 DEF%]~[29.18 ATK]]|sum:5758392.23199375|mean:19194.640773312498
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[37.30 EM]~[41.67 DEF]~[3.89 CR]~[48.63 ATK]-[311.00 ATK]~[5.83 CR]~[16.91 HP%]~[5.18 ER]~[43.98 DEF]-[46.60 ATK%]~[10.50 CR]~[5.44 CD]~[53.62 EM]~[5.83 ER]-[58.30 Physical]~[7.39 CR]~[19.45 ATK]~[16.76 DEF%]~[10.50 HP%]-[31.10 CR]~[21.37 ER]~[4.08 HP%]~[5.10 DEF%]~[29.18 ATK]]|sum:5738724.673603126|mean:19129.082245343754
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[10.93 DEF%]~[10.36 ER]~[9.91 ATK%]~[35.02 ATK]-[311.00 ATK]~[11.01 ER]~[5.10 DEF%]~[7.77 CD]~[81.02 DEF]-[46.60 ATK%]~[9.71 ER]~[21.75 CD]~[7.78 CR]~[18.52 DEF]-[187.00 EM]~[10.36 ER]~[6.61 CR]~[31.13 ATK]~[9.91 HP%]-[62.20 CD]~[3.89 CR]~[15.56 ATK]~[18.22 DEF%]~[62.94 EM]]|sum:5742584.67354375|mean:19141.948911812502
best_fitness:26718.57133125|best_individual:[[4780.00 HP]~[10.93 DEF%]~[10.36 ER]~[9.91 ATK%]~[35.02 ATK]-[311.00 ATK]~[11.01 ER]~[5.10 DEF%]~[7.77 CD]~[81.02 DEF]-[46.60 ATK%]~[9.71 ER]~[21.75 CD]~[7.78 CR]~[18.52 DEF]-[187.00 EM]~[10.36 ER]~[6.61 CR]~[31.13 ATK]~[9.91 HP%]-[62.20 CD]~[3.89 CR]~[15.56 ATK]~[18.22 DEF%]~[62.94 EM]]|sum:5717187.63568125|mean:19057.2921189375
