best_fitness:26200.820559375003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[9.71 ER]~[23.15 DEF]~[44.29 EM]~[14.57 ATK%]-[46.60 ATK%]~[19.43 CD]~[35.02 ATK]~[18.52 DEF]~[10.49 HP%]-[46.60 Geo]~[51.29 EM]~[36.96 ATK]~[8.74 HP%]~[20.83 DEF]-[46.60 HP%]~[11.66 ATK%]~[58.28 EM]~[7.77 CD]~[11.01 ER]]|sum:5739782.355412501|mean:19132.607851375004
best_fitness:26237.576428125|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[7.29 DEF%]~[9.33 ATK%]~[41.67 DEF]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[9.91 ATK%]~[6.22 CD]~[37.04 DEF]~[58.28 EM]]|sum:5753297.10811875|mean:19177.6570270625
best_fitness:26237.576428125|best_individual:[[4780.00 HP]~[10.93 DEF%]~[46.68 ATK]~[11.66 ER]~[5.83 ATK%]-[311.00 ATK]~[14.57 HP%]~[7.29 DEF%]~[9.33 ATK%]~[41.67 DEF]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[9.91 ATK%]~[6.22 CD]~[37.04 DEF]~[58.28 EM]]|sum:5764816.904362501|mean:19216.056347875
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[3.11 CR]~[52.52 ATK]~[5.25 ATK%]~[19.43 CD]-[311.00 ATK]~[6.99 CD]~[15.74 HP%]~[15.54 ER]~[7.29 DEF%]-[46.60 HP%]~[18.65 EM]~[62.50 DEF]~[20.98 CD]~[4.53 ER]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5800634.8647375|mean:19335.449549125
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[39.63 EM]~[35.01 ATK]~[7.39 CR]~[43.98 DEF]-[311.00 ATK]~[13.12 DEF%]~[18.65 EM]~[10.88 CD]~[57.86 DEF]-[46.60 HP%]~[37.03 DEF]~[48.63 ATK]~[2.72 CR]~[12.31 ER]-[46.60 Anemo]~[44.29 EM]~[15.56 ATK]~[5.83 DEF%]~[14.00 CR]-[187.00 EM]~[13.40 HP%]~[18.22 DEF%]~[20.83 DEF]~[13.62 ATK]]|sum:5791867.322596876|mean:19306.224408656253
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[39.63 EM]~[35.01 ATK]~[7.39 CR]~[43.98 DEF]-[311.00 ATK]~[13.12 DEF%]~[18.65 EM]~[10.88 CD]~[57.86 DEF]-[46.60 HP%]~[37.03 DEF]~[48.63 ATK]~[2.72 CR]~[12.31 ER]-[46.60 Anemo]~[44.29 EM]~[15.56 ATK]~[5.83 DEF%]~[14.00 CR]-[187.00 EM]~[13.40 HP%]~[18.22 DEF%]~[20.83 DEF]~[13.62 ATK]]|sum:5759159.0354625005|mean:19197.196784875003
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[39.63 EM]~[35.01 ATK]~[7.39 CR]~[43.98 DEF]-[311.00 ATK]~[13.12 DEF%]~[18.65 EM]~[10.88 CD]~[57.86 DEF]-[46.60 HP%]~[37.03 DEF]~[48.63 ATK]~[2.72 CR]~[12.31 ER]-[46.60 Anemo]~[44.29 EM]~[15.56 ATK]~[5.83 DEF%]~[14.00 CR]-[187.00 EM]~[13.40 HP%]~[18.22 DEF%]~[20.83 DEF]~[13.62 ATK]]|sum:5768010.862612501|mean:19226.702875375002
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[62.50 DEF]~[10.36 ER]~[14.76 CD]~[18.65 EM]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[58.30 Physical]~[11.08 HP%]~[48.63 ATK]~[13.12 DEF%]~[4.08 ATK%]-[187.00 EM]~[13.12 DEF%]~[20.40 ATK%]~[20.83 DEF]~[2.72 CR]]|sum:5753764.161140625|mean:19179.21387046875
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[62.50 DEF]~[10.36 ER]~[14.76 CD]~[18.65 EM]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[58.30 Physical]~[11.08 HP%]~[48.63 ATK]~[13.12 DEF%]~[4.08 ATK%]-[187.00 EM]~[13.12 DEF%]~[20.40 ATK%]~[20.83 DEF]~[2.72 CR]]|sum:5777170.678593751|mean:19257.235595312504
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[62.50 DEF]~[10.36 ER]~[14.76 CD]~[18.65 EM]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[58.30 Physical]~[11.08 HP%]~[48.63 ATK]~[13.12 DEF%]~[4.08 ATK%]-[187.00 EM]~[13.12 DEF%]~[20.40 ATK%]~[20.83 DEF]~[2.72 CR]]|sum:5771786.57754375|mean:19239.288591812503
best_fitness:26311.721887500004|best_individual:[[4780.00 HP]~[14.76 CD]~[37.30 EM]~[6.61 CR]~[8.74 ATK%]-[311.00 ATK]~[5.25 HP%]~[9.06 ER]~[13.21 CD]~[17.49 DEF%]-[46.60 HP%]~[3.11 CR]~[15.54 ER]~[32.64 EM]~[8.74 ATK%]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[62.20 CD]~[14.89 ER]~[17.51 ATK]~[41.96 EM]~[41.67 DEF]]|sum:5730062.32929375|mean:19100.2077643125
