best_fitness:24577.225115625|best_individual:[[4780.00 HP]~[2.72 CR]~[29.18 ATK]~[39.35 DEF]~[60.61 EM]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[19.42 CD]~[12.31 ER]~[35.01 ATK]~[5.10 DEF%]-[58.30 Physical]~[8.74 ATK%]~[6.99 CD]~[9.32 HP%]~[18.95 DEF%]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5780257.537846876|mean:19267.525126156255
best_fitness:24799.027771875|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[21.57 ATK%]~[6.56 DEF%]~[11.01 ER]~[20.98 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[62.20 CD]~[8.74 HP%]~[16.32 EM]~[16.76 DEF%]~[6.61 CR]]|sum:5766674.343178126|mean:19222.24781059375
best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[43.98 DEF]~[20.20 CD]~[10.93 DEF%]~[5.83 ER]-[311.00 ATK]~[6.99 CD]~[7.39 CR]~[79.26 EM]~[4.66 ATK%]-[46.60 HP%]~[12.39 DEF%]~[3.50 CR]~[6.99 CD]~[23.97 ER]-[46.60 HP%]~[13.21 CD]~[57.87 DEF]~[4.53 ER]~[33.07 ATK]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5743380.6282187505|mean:19144.602094062502
best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[43.98 DEF]~[20.20 CD]~[10.93 DEF%]~[5.83 ER]-[311.00 ATK]~[6.99 CD]~[7.39 CR]~[79.26 EM]~[4.66 ATK%]-[46.60 HP%]~[12.39 DEF%]~[3.50 CR]~[6.99 CD]~[23.97 ER]-[46.60 HP%]~[13.21 CD]~[57.87 DEF]~[4.53 ER]~[33.07 ATK]-[46.60 HP%]~[11.66 DEF%]~[18.52 DEF]~[44.75 ATK]~[6.22 CR]]|sum:5773822.725928126|mean:19246.07575309375
best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[5.83 ATK%]~[42.80 ATK]~[2.72 CR]~[53.24 DEF]-[311.00 ATK]~[12.43 CD]~[5.83 ER]~[10.11 CR]~[9.91 ATK%]-[46.60 ATK%]~[41.67 DEF]~[15.54 ER]~[9.32 HP%]~[20.98 EM]-[187.00 EM]~[35.01 ATK]~[19.24 ATK%]~[6.99 CD]~[5.83 ER]-[31.10 CR]~[13.21 CD]~[8.74 ATK%]~[11.66 DEF%]~[9.91 HP%]]|sum:5809794.680718751|mean:19365.9822690625
best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[7.77 CD]~[15.16 HP%]~[3.11 CR]~[57.87 DEF]-[311.00 ATK]~[8.74 ATK%]~[57.87 DEF]~[12.96 ER]~[3.11 CR]-[46.60 ATK%]~[18.14 ER]~[13.62 ATK]~[14.58 HP%]~[20.83 DEF]-[46.60 Electro]~[11.01 ER]~[50.58 ATK]~[5.25 ATK%]~[44.29 EM]-[46.60 ATK%]~[3.89 CR]~[39.63 EM]~[24.05 DEF%]~[5.25 HP%]]|sum:5815660.41039375|mean:19385.5347013125
best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[8.94 CR]~[41.67 DEF]~[7.77 CD]~[11.08 HP%]-[311.00 ATK]~[10.49 ATK%]~[37.30 EM]~[23.15 DEF]~[15.75 HP%]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 Geo]~[23.15 DEF]~[12.24 HP%]~[5.10 DEF%]~[13.41 ATK%]-[62.20 CD]~[5.83 CR]~[11.66 ER]~[60.18 DEF]~[5.83 DEF%]]|sum:5777313.899737501|mean:19257.712999125
best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[4.53 ER]~[32.40 DEF]~[38.90 ATK]~[20.98 CD]-[311.00 ATK]~[24.60 ER]~[16.32 EM]~[2.72 CR]~[4.66 ATK%]-[187.00 EM]~[3.89 CR]~[27.24 ATK]~[15.74 HP%]~[11.01 ER]-[46.60 Geo]~[23.15 DEF]~[33.07 ATK]~[18.95 DEF%]~[11.66 HP%]-[58.30 DEF%]~[23.31 EM]~[17.48 ATK%]~[15.56 ATK]~[14.76 CD]]|sum:5724874.682025|mean:19082.91560675
best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[12.39 DEF%]~[25.65 CD]~[13.62 ATK]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[9.91 ATK%]~[23.97 ER]~[2.72 CR]-[46.60 ATK%]~[3.50 CR]~[12.39 DEF%]~[12.43 CD]~[15.54 ER]-[46.60 Cryo]~[9.91 HP%]~[44.74 ATK]~[4.66 ATK%]~[32.40 DEF]-[31.10 CR]~[16.84 ER]~[13.62 ATK]~[11.08 ATK%]~[13.98 CD]]|sum:5718889.178915625|mean:19062.963929718753
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[15.16 HP%]~[34.97 EM]~[5.83 ER]~[41.67 DEF]-[311.00 ATK]~[34.72 DEF]~[18.95 DEF%]~[3.11 CR]~[9.33 HP%]-[46.60 HP%]~[23.31 EM]~[6.56 DEF%]~[50.58 ATK]~[15.54 ER]-[46.60 HP%]~[8.16 ATK%]~[13.62 ATK]~[14.76 CD]~[10.11 CR]-[46.60 HP%]~[21.14 DEF%]~[11.01 ER]~[11.08 ATK%]~[18.52 DEF]]|sum:5724668.088693751|mean:19082.226962312503
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5739249.395315625|mean:19130.83131771875
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5730287.300559375|mean:19100.957668531253
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5715661.633406251|mean:19052.2054446875
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5703225.475331251|mean:19010.7515844375
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.01 ER]~[10.49 ATK%]~[9.33 CR]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[58.30 DEF%]~[2.72 CR]~[11.08 ATK%]~[8.16 HP%]~[15.54 ER]-[187.00 EM]~[14.89 ER]~[33.07 ATK]~[13.21 CD]~[3.11 CR]-[187.00 EM]~[7.77 CD]~[11.66 DEF%]~[18.52 DEF]~[20.07 ER]]|sum:5765257.341065627|mean:19217.524470218756
best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[12.31 ER]~[62.94 EM]~[41.67 DEF]-[311.00 ATK]~[10.89 CR]~[5.25 ATK%]~[32.40 DEF]~[34.97 EM]-[46.60 ATK%]~[29.18 ATK]~[13.99 CD]~[7.78 CR]~[10.36 ER]-[58.30 DEF%]~[16.32 EM]~[11.66 CD]~[36.96 ATK]~[11.28 CR]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:5773033.108471875|mean:19243.44369490625
