best_fitness:24615.248428124996|best_individual:[[4780.00 HP]~[10.49 ATK%]~[68.08 ATK]~[18.65 EM]~[16.20 DEF]-[311.00 ATK]~[14.58 HP%]~[8.16 ATK%]~[11.66 ER]~[7.29 DEF%]-[46.60 ATK%]~[55.56 DEF]~[5.83 ER]~[6.99 CD]~[8.94 CR]-[187.00 EM]~[35.01 ATK]~[19.24 ATK%]~[6.99 CD]~[5.83 ER]-[62.20 CD]~[15.56 ATK]~[34.72 DEF]~[21.57 ATK%]~[20.98 EM]]|sum:5758465.743731251|mean:19194.885812437504
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[9.33 HP%]~[11.01 ER]~[64.82 DEF]~[17.51 ATK]-[311.00 ATK]~[12.39 DEF%]~[12.82 HP%]~[5.83 ATK%]~[10.36 ER]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5763918.920465626|mean:19213.06306821875
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[13.40 ATK%]~[20.98 EM]~[17.88 CD]~[5.83 DEF%]-[311.00 ATK]~[20.83 DEF]~[5.25 HP%]~[18.66 CD]~[18.79 ER]-[46.60 ATK%]~[11.08 HP%]~[5.10 DEF%]~[17.49 ER]~[6.22 CR]-[46.60 ATK%]~[31.13 ATK]~[9.72 CR]~[18.52 DEF]~[11.01 ER]-[62.20 CD]~[60.18 DEF]~[9.32 HP%]~[19.45 ATK]~[7.78 CR]]|sum:5747155.075706251|mean:19157.183585687504
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[13.99 CD]~[10.93 DEF%]~[5.25 HP%]~[69.45 DEF]-[46.60 ATK%]~[55.56 DEF]~[5.83 ER]~[6.99 CD]~[8.94 CR]-[46.60 Anemo]~[68.08 ATK]~[39.35 DEF]~[6.48 ER]~[6.99 CD]-[62.20 CD]~[23.15 DEF]~[14.58 ATK%]~[58.28 EM]~[2.72 CR]]|sum:5748621.508125|mean:19162.07169375
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[13.99 CD]~[10.93 DEF%]~[5.25 HP%]~[69.45 DEF]-[46.60 ATK%]~[55.56 DEF]~[5.83 ER]~[6.99 CD]~[8.94 CR]-[46.60 Anemo]~[68.08 ATK]~[39.35 DEF]~[6.48 ER]~[6.99 CD]-[62.20 CD]~[23.15 DEF]~[14.58 ATK%]~[58.28 EM]~[2.72 CR]]|sum:5761553.870428125|mean:19205.17956809375
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[13.99 CD]~[10.93 DEF%]~[5.25 HP%]~[69.45 DEF]-[46.60 ATK%]~[55.56 DEF]~[5.83 ER]~[6.99 CD]~[8.94 CR]-[46.60 Anemo]~[68.08 ATK]~[39.35 DEF]~[6.48 ER]~[6.99 CD]-[62.20 CD]~[23.15 DEF]~[14.58 ATK%]~[58.28 EM]~[2.72 CR]]|sum:5731167.54024375|mean:19103.8918008125
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[13.99 CD]~[10.93 DEF%]~[5.25 HP%]~[69.45 DEF]-[46.60 ATK%]~[55.56 DEF]~[5.83 ER]~[6.99 CD]~[8.94 CR]-[46.60 Anemo]~[68.08 ATK]~[39.35 DEF]~[6.48 ER]~[6.99 CD]-[62.20 CD]~[23.15 DEF]~[14.58 ATK%]~[58.28 EM]~[2.72 CR]]|sum:5740201.245571876|mean:19134.004151906254
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[46.69 ATK]~[9.91 HP%]~[10.49 ATK%]~[6.22 CD]-[311.00 ATK]~[8.74 HP%]~[39.35 DEF]~[8.55 CR]~[6.48 ER]-[58.30 DEF%]~[17.51 ATK]~[17.49 ER]~[23.15 DEF]~[15.16 HP%]-[46.60 Anemo]~[7.29 DEF%]~[18.52 DEF]~[23.97 ER]~[31.13 ATK]-[35.90 Healing]~[55.56 DEF]~[7.77 CD]~[11.66 DEF%]~[10.36 ER]]|sum:5714962.004456251|mean:19049.873348187502
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[7.29 DEF%]~[9.33 HP%]~[16.19 ER]~[5.44 CR]-[311.00 ATK]~[9.91 HP%]~[15.74 ATK%]~[41.67 DEF]~[23.31 EM]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 HP%]~[13.21 CD]~[57.87 DEF]~[4.53 ER]~[33.07 ATK]-[187.00 EM]~[10.49 ATK%]~[13.98 CD]~[34.72 DEF]~[11.01 ER]]|sum:5731688.459625|mean:19105.62819875
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[7.29 DEF%]~[9.33 HP%]~[16.19 ER]~[5.44 CR]-[311.00 ATK]~[9.91 HP%]~[15.74 ATK%]~[41.67 DEF]~[23.31 EM]-[46.60 HP%]~[60.31 ATK]~[5.83 ER]~[4.08 ATK%]~[41.67 DEF]-[46.60 HP%]~[13.21 CD]~[57.87 DEF]~[4.53 ER]~[33.07 ATK]-[187.00 EM]~[10.49 ATK%]~[13.98 CD]~[34.72 DEF]~[11.01 ER]]|sum:5738720.237550001|mean:19129.0674585
best_fitness:26717.937609375003|best_individual:[[4780.00 HP]~[5.10 DEF%]~[16.33 ATK%]~[19.42 CD]~[5.83 HP%]-[311.00 ATK]~[4.66 HP%]~[41.96 EM]~[13.98 CD]~[16.84 ER]-[46.60 HP%]~[5.25 ATK%]~[31.75 ER]~[19.45 ATK]~[23.31 EM]-[46.60 Cryo]~[19.45 ATK]~[13.98 ATK%]~[8.16 HP%]~[13.21 CD]-[46.60 ATK%]~[6.48 ER]~[7.00 CR]~[11.66 DEF%]~[20.21 CD]]|sum:5762577.33125625|mean:19208.5911041875
best_fitness:26828.8389375|best_individual:[[4780.00 HP]~[5.83 ER]~[12.82 ATK%]~[13.99 HP%]~[17.51 ATK]-[311.00 ATK]~[39.63 EM]~[9.91 ATK%]~[9.91 HP%]~[5.83 CR]-[46.60 HP%]~[15.56 ATK]~[58.28 EM]~[11.66 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.65 ATK%]~[3.50 CR]~[41.96 EM]~[20.83 DEF]-[46.60 HP%]~[14.58 DEF%]~[29.18 ATK]~[10.11 CR]~[6.99 CD]]|sum:5717071.030856251|mean:19056.903436187502
best_fitness:26828.8389375|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[58.30 DEF%]~[2.72 CR]~[5.44 CD]~[15.16 HP%]~[12.82 ATK%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[187.00 EM]~[18.65 CD]~[9.91 ATK%]~[5.83 DEF%]~[9.91 HP%]]|sum:5715488.627334375|mean:19051.62875778125
best_fitness:26828.8389375|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[58.30 DEF%]~[2.72 CR]~[5.44 CD]~[15.16 HP%]~[12.82 ATK%]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[187.00 EM]~[18.65 CD]~[9.91 ATK%]~[5.83 DEF%]~[9.91 HP%]]|sum:5732987.58946875|mean:19109.958631562502
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[6.56 DEF%]~[36.96 ATK]~[60.61 EM]~[12.31 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[16.20 DEF]~[11.66 DEF%]~[11.01 ER]~[10.50 CR]-[46.60 HP%]~[13.12 DEF%]~[5.25 ATK%]~[12.44 CR]~[18.52 DEF]-[46.60 HP%]~[14.58 DEF%]~[29.18 ATK]~[10.11 CR]~[6.99 CD]]|sum:5735321.587134375|mean:19117.73862378125
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[4.66 HP%]~[11.66 DEF%]~[22.67 ER]~[16.32 EM]-[311.00 ATK]~[9.33 CR]~[5.44 CD]~[5.25 ATK%]~[16.19 ER]-[58.30 DEF%]~[48.63 ATK]~[10.36 ER]~[3.11 CR]~[41.96 EM]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[58.30 DEF%]~[5.25 ATK%]~[35.02 ATK]~[4.53 ER]~[26.42 CD]]|sum:5705646.292893751|mean:19018.8209763125
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[4.66 HP%]~[11.66 DEF%]~[22.67 ER]~[16.32 EM]-[311.00 ATK]~[9.33 CR]~[5.44 CD]~[5.25 ATK%]~[16.19 ER]-[58.30 DEF%]~[48.63 ATK]~[10.36 ER]~[3.11 CR]~[41.96 EM]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[58.30 DEF%]~[5.25 ATK%]~[35.02 ATK]~[4.53 ER]~[26.42 CD]]|sum:5732255.640703126|mean:19107.51880234375
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[11.01 ER]~[19.45 ATK]~[39.35 DEF]~[19.43 CD]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[187.00 EM]~[50.57 ATK]~[15.74 ATK%]~[3.89 CR]~[6.22 CD]-[46.60 Anemo]~[8.74 HP%]~[33.07 ATK]~[15.16 ATK%]~[4.53 ER]-[58.30 DEF%]~[3.11 CR]~[10.88 CD]~[29.18 ATK]~[18.14 ER]]|sum:5736085.22199375|mean:19120.2840733125
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[11.01 ER]~[19.45 ATK]~[39.35 DEF]~[19.43 CD]-[311.00 ATK]~[4.66 ATK%]~[10.88 CD]~[6.61 CR]~[13.41 HP%]-[187.00 EM]~[50.57 ATK]~[15.74 ATK%]~[3.89 CR]~[6.22 CD]-[46.60 Anemo]~[8.74 HP%]~[33.07 ATK]~[15.16 ATK%]~[4.53 ER]-[58.30 DEF%]~[3.11 CR]~[10.88 CD]~[29.18 ATK]~[18.14 ER]]|sum:5740966.147875001|mean:19136.55382625
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[20.98 EM]~[10.50 ATK%]~[21.57 HP%]~[6.22 CD]-[311.00 ATK]~[9.91 ATK%]~[32.64 EM]~[13.99 CD]~[12.39 DEF%]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[5.25 ATK%]~[13.21 CD]~[46.30 DEF]~[14.89 ER]-[62.20 CD]~[67.60 EM]~[16.20 DEF]~[5.83 HP%]~[17.49 ER]]|sum:5757825.050915626|mean:19192.750169718754
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[2.72 CR]~[29.18 ATK]~[39.35 DEF]~[60.61 EM]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[187.00 EM]~[10.49 ATK%]~[5.25 HP%]~[20.21 CD]~[38.90 ATK]-[46.60 HP%]~[3.89 CR]~[57.87 DEF]~[4.08 ATK%]~[19.43 CD]-[187.00 EM]~[19.68 DEF%]~[33.07 ATK]~[5.25 HP%]~[9.91 ATK%]]|sum:5777585.132700001|mean:19258.617109000003
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[13.21 CD]~[32.40 DEF]~[11.01 ER]~[9.32 HP%]-[311.00 ATK]~[20.41 DEF%]~[3.50 CR]~[15.15 ATK%]~[5.83 HP%]-[51.80 ER]~[60.18 DEF]~[17.49 DEF%]~[13.62 ATK]~[6.99 CD]-[46.60 Anemo]~[17.51 ATK]~[39.35 DEF]~[8.16 ATK%]~[55.95 EM]-[62.20 CD]~[15.56 ATK]~[34.72 DEF]~[21.57 ATK%]~[20.98 EM]]|sum:5734665.051271875|mean:19115.550170906252
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[13.21 CD]~[32.40 DEF]~[11.01 ER]~[9.32 HP%]-[311.00 ATK]~[20.41 DEF%]~[3.50 CR]~[15.15 ATK%]~[5.83 HP%]-[51.80 ER]~[60.18 DEF]~[17.49 DEF%]~[13.62 ATK]~[6.99 CD]-[46.60 Anemo]~[17.51 ATK]~[39.35 DEF]~[8.16 ATK%]~[55.95 EM]-[62.20 CD]~[15.56 ATK]~[34.72 DEF]~[21.57 ATK%]~[20.98 EM]]|sum:5757489.812043751|mean:19191.632706812503
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[13.21 CD]~[32.40 DEF]~[11.01 ER]~[9.32 HP%]-[311.00 ATK]~[20.41 DEF%]~[3.50 CR]~[15.15 ATK%]~[5.83 HP%]-[51.80 ER]~[60.18 DEF]~[17.49 DEF%]~[13.62 ATK]~[6.99 CD]-[46.60 Anemo]~[17.51 ATK]~[39.35 DEF]~[8.16 ATK%]~[55.95 EM]-[62.20 CD]~[15.56 ATK]~[34.72 DEF]~[21.57 ATK%]~[20.98 EM]]|sum:5745643.0153125|mean:19152.143384375002
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[13.21 CD]~[32.40 DEF]~[11.01 ER]~[9.32 HP%]-[311.00 ATK]~[7.78 CR]~[16.32 EM]~[13.99 HP%]~[37.03 DEF]-[58.30 DEF%]~[2.72 CR]~[11.08 HP%]~[19.45 ATK]~[19.24 ATK%]-[46.60 Geo]~[23.15 DEF]~[12.24 HP%]~[5.10 DEF%]~[13.41 ATK%]-[58.30 DEF%]~[11.08 HP%]~[58.28 EM]~[5.83 ATK%]~[6.61 CR]]|sum:5770209.877518751|mean:19234.032925062504
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[13.21 CD]~[32.40 DEF]~[11.01 ER]~[9.32 HP%]-[311.00 ATK]~[7.78 CR]~[16.32 EM]~[13.99 HP%]~[37.03 DEF]-[58.30 DEF%]~[2.72 CR]~[11.08 HP%]~[19.45 ATK]~[19.24 ATK%]-[46.60 Geo]~[23.15 DEF]~[12.24 HP%]~[5.10 DEF%]~[13.41 ATK%]-[58.30 DEF%]~[11.08 HP%]~[58.28 EM]~[5.83 ATK%]~[6.61 CR]]|sum:5705874.432768751|mean:19019.581442562503
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[13.21 CD]~[32.40 DEF]~[11.01 ER]~[9.32 HP%]-[311.00 ATK]~[7.78 CR]~[16.32 EM]~[13.99 HP%]~[37.03 DEF]-[58.30 DEF%]~[2.72 CR]~[11.08 HP%]~[19.45 ATK]~[19.24 ATK%]-[46.60 Geo]~[23.15 DEF]~[12.24 HP%]~[5.10 DEF%]~[13.41 ATK%]-[58.30 DEF%]~[11.08 HP%]~[58.28 EM]~[5.83 ATK%]~[6.61 CR]]|sum:5719727.5929562505|mean:19065.758643187502
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[60.19 DEF]~[31.13 ATK]~[6.22 CR]~[4.08 ATK%]-[311.00 ATK]~[14.57 ATK%]~[9.71 ER]~[5.83 DEF%]~[10.88 CD]-[51.80 ER]~[16.20 DEF]~[15.56 ATK]~[19.82 ATK%]~[13.98 CD]-[46.60 Geo]~[9.33 ATK%]~[16.91 HP%]~[13.62 ATK]~[13.21 CD]-[187.00 EM]~[32.40 DEF]~[20.41 DEF%]~[13.21 CD]~[3.50 CR]]|sum:5682914.055515626|mean:18943.046851718755
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[41.67 DEF]~[11.08 HP%]~[19.43 CD]~[5.10 DEF%]-[311.00 ATK]~[9.72 CR]~[60.61 EM]~[6.56 DEF%]~[16.20 DEF]-[187.00 EM]~[25.51 DEF%]~[4.66 ATK%]~[35.01 ATK]~[6.99 CD]-[46.60 Anemo]~[11.66 CD]~[41.96 EM]~[5.10 DEF%]~[52.52 ATK]-[187.00 EM]~[32.40 DEF]~[20.41 DEF%]~[13.21 CD]~[3.50 CR]]|sum:5700319.2268125005|mean:19001.064089375002
