best_fitness:24910.562821875006|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[7.29 DEF%]~[41.66 DEF]~[11.66 HP%]~[18.65 CD]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[187.00 EM]~[13.99 HP%]~[16.20 DEF]~[11.66 DEF%]~[8.16 ATK%]]|sum:5782232.215209376|mean:19274.107384031253
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[3.89 CR]~[44.29 EM]~[41.67 DEF]~[15.54 ER]-[311.00 ATK]~[10.49 ATK%]~[37.30 EM]~[23.15 DEF]~[15.75 HP%]-[46.60 HP%]~[15.56 ATK]~[58.28 EM]~[11.66 DEF%]~[32.40 DEF]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5771319.524521875|mean:19237.73174840625
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[3.89 CR]~[44.29 EM]~[41.67 DEF]~[15.54 ER]-[311.00 ATK]~[10.49 ATK%]~[37.30 EM]~[23.15 DEF]~[15.75 HP%]-[46.60 HP%]~[15.56 ATK]~[58.28 EM]~[11.66 DEF%]~[32.40 DEF]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5768369.549193751|mean:19227.898497312504
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[13.99 CD]~[13.99 ATK%]~[39.35 DEF]~[2.72 CR]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5768457.002812501|mean:19228.190009375005
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[13.99 CD]~[13.99 ATK%]~[39.35 DEF]~[2.72 CR]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5767571.059631251|mean:19225.236865437502
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[6.56 DEF%]~[74.60 EM]~[5.25 HP%]~[9.91 ATK%]-[311.00 ATK]~[13.99 CD]~[13.99 ATK%]~[39.35 DEF]~[2.72 CR]-[58.30 DEF%]~[10.50 HP%]~[17.49 ER]~[39.35 DEF]~[5.83 ATK%]-[46.60 HP%]~[53.23 DEF]~[15.56 ATK]~[18.65 EM]~[9.33 CR]-[46.60 HP%]~[6.22 CD]~[5.83 ER]~[26.97 DEF%]~[37.03 DEF]]|sum:5734168.847043751|mean:19113.8961568125
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[11.01 ER]~[76.93 EM]~[6.99 CD]~[4.66 HP%]-[311.00 ATK]~[8.74 ATK%]~[57.87 DEF]~[12.96 ER]~[3.11 CR]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Pyro]~[46.30 DEF]~[5.44 CD]~[5.83 HP%]~[24.05 DEF%]-[35.90 Healing]~[14.58 DEF%]~[39.63 EM]~[12.31 ER]~[43.98 DEF]]|sum:5762522.831175|mean:19208.40943725
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[11.01 ER]~[76.93 EM]~[6.99 CD]~[4.66 HP%]-[311.00 ATK]~[8.74 ATK%]~[57.87 DEF]~[12.96 ER]~[3.11 CR]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Pyro]~[46.30 DEF]~[5.44 CD]~[5.83 HP%]~[24.05 DEF%]-[35.90 Healing]~[14.58 DEF%]~[39.63 EM]~[12.31 ER]~[43.98 DEF]]|sum:5798989.722750001|mean:19329.9657425
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[11.01 ER]~[76.93 EM]~[6.99 CD]~[4.66 HP%]-[311.00 ATK]~[8.74 ATK%]~[57.87 DEF]~[12.96 ER]~[3.11 CR]-[58.30 DEF%]~[39.63 EM]~[9.33 ATK%]~[13.21 CD]~[7.39 CR]-[46.60 Pyro]~[46.30 DEF]~[5.44 CD]~[5.83 HP%]~[24.05 DEF%]-[35.90 Healing]~[14.58 DEF%]~[39.63 EM]~[12.31 ER]~[43.98 DEF]]|sum:5794424.390362501|mean:19314.747967875002
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[13.85 DEF%]~[41.96 EM]~[5.83 CR]~[8.74 HP%]-[311.00 ATK]~[18.79 ER]~[3.89 CR]~[18.22 DEF%]~[5.44 CD]-[46.60 HP%]~[10.49 ATK%]~[11.66 ER]~[20.98 CD]~[7.29 DEF%]-[187.00 EM]~[9.91 HP%]~[10.36 ER]~[15.74 ATK%]~[3.89 CR]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:5776476.1194187505|mean:19254.920398062502
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[13.85 DEF%]~[41.96 EM]~[5.83 CR]~[8.74 HP%]-[311.00 ATK]~[18.79 ER]~[3.89 CR]~[18.22 DEF%]~[5.44 CD]-[46.60 HP%]~[10.49 ATK%]~[11.66 ER]~[20.98 CD]~[7.29 DEF%]-[187.00 EM]~[9.91 HP%]~[10.36 ER]~[15.74 ATK%]~[3.89 CR]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:5791837.537668751|mean:19306.125125562503
best_fitness:26312.35560937501|best_individual:[[4780.00 HP]~[3.89 CR]~[11.66 CD]~[16.19 ER]~[35.01 ATK]-[311.00 ATK]~[18.65 EM]~[8.16 HP%]~[7.00 CR]~[22.53 CD]-[46.60 ATK%]~[11.66 DEF%]~[57.87 DEF]~[5.44 CD]~[36.96 ATK]-[46.60 Hydro]~[12.43 CD]~[11.08 HP%]~[5.44 CR]~[34.72 DEF]-[58.30 DEF%]~[9.91 HP%]~[5.18 ER]~[51.29 EM]~[5.83 CR]]|sum:5749753.33539375|mean:19165.8444513125
