best_fitness:24615.248428125004|best_individual:[[4780.00 HP]~[5.83 ATK%]~[30.61 DEF%]~[16.32 EM]~[5.25 HP%]-[311.00 ATK]~[15.16 HP%]~[16.32 EM]~[11.66 CD]~[13.12 DEF%]-[46.60 HP%]~[23.31 EM]~[6.56 DEF%]~[50.58 ATK]~[15.54 ER]-[46.60 Hydro]~[10.20 DEF%]~[19.45 ATK]~[15.16 HP%]~[5.83 CR]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5740696.1823562505|mean:19135.653941187502
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[7.77 CD]~[10.49 HP%]~[6.22 CR]~[15.54 ER]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5755570.9022062505|mean:19185.2363406875
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[7.77 CD]~[10.49 HP%]~[6.22 CR]~[15.54 ER]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5758702.121990625|mean:19195.673739968748
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[3.50 CR]~[15.16 HP%]~[65.27 EM]~[16.20 DEF]-[311.00 ATK]~[10.36 ER]~[9.91 ATK%]~[12.39 DEF%]~[11.66 CD]-[51.80 ER]~[12.43 CD]~[50.92 DEF]~[6.56 DEF%]~[7.00 CR]-[46.60 Electro]~[15.54 CD]~[9.91 HP%]~[11.66 ER]~[5.83 CR]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5768332.793325|mean:19227.775977750003
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[3.50 CR]~[15.16 HP%]~[65.27 EM]~[16.20 DEF]-[311.00 ATK]~[10.36 ER]~[9.91 ATK%]~[12.39 DEF%]~[11.66 CD]-[51.80 ER]~[12.43 CD]~[50.92 DEF]~[6.56 DEF%]~[7.00 CR]-[46.60 Electro]~[15.54 CD]~[9.91 HP%]~[11.66 ER]~[5.83 CR]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5752877.584237501|mean:19176.258614125003
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[19.42 CD]~[5.83 CR]~[5.25 ATK%]~[11.66 ER]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[46.60 ATK%]~[44.29 EM]~[17.49 DEF%]~[33.07 ATK]~[5.18 ER]-[46.60 Geo]~[23.15 DEF]~[12.24 HP%]~[5.10 DEF%]~[13.41 ATK%]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:5730434.324034375|mean:19101.44774678125
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[19.42 CD]~[5.83 CR]~[5.25 ATK%]~[11.66 ER]-[311.00 ATK]~[5.83 ATK%]~[16.91 HP%]~[39.35 DEF]~[14.58 DEF%]-[46.60 ATK%]~[44.29 EM]~[17.49 DEF%]~[33.07 ATK]~[5.18 ER]-[46.60 Geo]~[23.15 DEF]~[12.24 HP%]~[5.10 DEF%]~[13.41 ATK%]-[31.10 CR]~[20.98 CD]~[12.96 ER]~[13.62 ATK]~[9.33 ATK%]]|sum:5744776.083787501|mean:19149.253612625
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[17.49 DEF%]~[5.83 CR]~[19.45 ATK]~[11.01 ER]-[311.00 ATK]~[18.65 ATK%]~[37.30 EM]~[3.11 CR]~[5.83 ER]-[51.80 ER]~[19.43 CD]~[8.74 ATK%]~[7.78 CR]~[19.45 ATK]-[46.60 Hydro]~[73.91 ATK]~[6.56 DEF%]~[4.08 ATK%]~[10.36 ER]-[187.00 EM]~[4.08 HP%]~[20.98 CD]~[35.01 ATK]~[34.72 DEF]]|sum:5769018.480393751|mean:19230.061601312504
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[11.66 DEF%]~[17.51 ATK]~[20.20 CD]~[9.91 ATK%]-[311.00 ATK]~[12.82 ATK%]~[60.61 EM]~[6.22 CD]~[5.83 HP%]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Hydro]~[39.63 EM]~[10.36 ER]~[10.49 ATK%]~[12.39 DEF%]-[187.00 EM]~[12.83 CR]~[20.83 DEF]~[5.83 HP%]~[11.66 DEF%]]|sum:5746200.6905625|mean:19154.002301875
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[11.66 DEF%]~[17.51 ATK]~[20.20 CD]~[9.91 ATK%]-[311.00 ATK]~[12.82 ATK%]~[60.61 EM]~[6.22 CD]~[5.83 HP%]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Hydro]~[39.63 EM]~[10.36 ER]~[10.49 ATK%]~[12.39 DEF%]-[187.00 EM]~[12.83 CR]~[20.83 DEF]~[5.83 HP%]~[11.66 DEF%]]|sum:5762187.592303125|mean:19207.291974343752
best_fitness:26902.984396875006|best_individual:[[4780.00 HP]~[11.66 DEF%]~[17.51 ATK]~[20.20 CD]~[9.91 ATK%]-[311.00 ATK]~[12.82 ATK%]~[60.61 EM]~[6.22 CD]~[5.83 HP%]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Hydro]~[39.63 EM]~[10.36 ER]~[10.49 ATK%]~[12.39 DEF%]-[187.00 EM]~[12.83 CR]~[20.83 DEF]~[5.83 HP%]~[11.66 DEF%]]|sum:5772789.12555|mean:19242.6304185
