best_fitness:19853.762616569446|best_individual:[[4780.00 HP]~[3.11 CR]~[14.58 ATK%]~[4.08 HP%]~[20.21 CD]-[311.00 ATK]~[39.35 DEF]~[37.30 EM]~[9.91 HP%]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[5.83 DEF%]~[39.63 EM]~[17.10 CD]~[11.66 HP%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3024406.8111130507|mean:10081.356037043503
best_fitness:19978.605236071948|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[6.22 CR]~[11.66 CD]~[4.08 ATK%]~[52.52 ATK]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[5.44 CD]~[53.23 DEF]~[39.63 EM]~[9.33 HP%]]|sum:3060367.9018703867|mean:10201.226339567955
best_fitness:20233.465040992207|best_individual:[[4780.00 HP]~[3.11 CR]~[14.58 ATK%]~[4.08 HP%]~[20.21 CD]-[311.00 ATK]~[39.35 DEF]~[37.30 EM]~[9.91 HP%]~[6.61 CR]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[5.83 DEF%]~[39.63 EM]~[17.10 CD]~[11.66 HP%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3109256.04845691|mean:10364.1868281897
best_fitness:20344.312615658706|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[39.35 DEF]~[37.30 EM]~[9.91 HP%]~[6.61 CR]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3132943.4262639154|mean:10443.144754213052
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3183805.9885095265|mean:10612.686628365089
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3173916.279100224|mean:10579.72093033408
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3204345.0332024503|mean:10681.150110674835
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3178292.9881308293|mean:10594.309960436098
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3210367.4251478803|mean:10701.224750492935
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3173125.687341212|mean:10577.085624470707
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3186902.4707949953|mean:10623.008235983318
best_fitness:21307.746014954504|best_individual:[[4780.00 HP]~[31.12 ATK]~[8.16 HP%]~[6.22 CR]~[9.33 ATK%]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3178773.9577708663|mean:10595.913192569555
best_fitness:21627.54993945707|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 ATK%]~[16.20 DEF]~[5.83 HP%]~[46.62 EM]~[13.61 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3204521.5342075666|mean:10681.738447358555
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3228905.3072383576|mean:10763.017690794526
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3254106.785335143|mean:10847.02261778381
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3262735.9054988567|mean:10875.786351662855
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3277253.739408419|mean:10924.179131361396
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3241936.072200391|mean:10806.453574001303
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3257607.796134613|mean:10858.692653782044
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3277521.444823785|mean:10925.07148274595
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3246404.0639377804|mean:10821.346879792602
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3236402.2104316754|mean:10788.007368105586
best_fitness:23181.247718212373|best_individual:[[4780.00 HP]~[13.98 CD]~[14.57 ATK%]~[5.83 CR]~[4.66 HP%]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 HP%]~[4.08 ATK%]~[50.58 ATK]~[21.76 CD]]|sum:3214926.560623202|mean:10716.421868744006
