best_fitness:18297.43111748053|best_individual:[[4780.00 HP]~[48.64 ATK]~[4.66 ATK%]~[11.66 DEF%]~[10.49 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 Pyro]~[14.76 CD]~[19.45 ATK]~[3.50 CR]~[20.40 ATK%]-[31.10 CR]~[46.69 ATK]~[17.10 CD]~[18.52 DEF]~[20.98 EM]]|sum:3033803.955106278|mean:10112.67985035426
best_fitness:18443.350911627742|best_individual:[[4780.00 HP]~[11.66 HP%]~[11.01 ER]~[5.83 ATK%]~[62.94 EM]-[311.00 ATK]~[6.61 CR]~[15.54 CD]~[5.18 ER]~[14.57 ATK%]-[46.60 HP%]~[9.33 CR]~[6.22 CD]~[50.92 DEF]~[20.98 EM]-[46.60 Pyro]~[21.37 ER]~[3.89 CR]~[15.56 ATK]~[13.21 CD]-[31.10 CR]~[15.74 ATK%]~[41.67 DEF]~[5.10 DEF%]~[13.21 CD]]|sum:3071257.1391453557|mean:10237.523797151185
best_fitness:19859.458512399317|best_individual:[[4780.00 HP]~[34.97 EM]~[39.35 DEF]~[6.61 CR]~[11.08 HP%]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[10.49 ATK%]~[11.66 ER]~[20.98 CD]~[7.29 DEF%]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[46.69 ATK]~[17.10 CD]~[18.52 DEF]~[20.98 EM]]|sum:3095055.469855844|mean:10316.851566186147
best_fitness:20256.492555256333|best_individual:[[4780.00 HP]~[7.39 CR]~[24.09 CD]~[17.51 ATK]~[20.98 EM]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 Pyro]~[57.87 DEF]~[5.83 DEF%]~[6.22 CD]~[12.24 HP%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3125350.602793484|mean:10417.835342644947
best_fitness:20256.492555256333|best_individual:[[4780.00 HP]~[7.39 CR]~[24.09 CD]~[17.51 ATK]~[20.98 EM]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 Pyro]~[57.87 DEF]~[5.83 DEF%]~[6.22 CD]~[12.24 HP%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3148922.5836247583|mean:10496.408612082527
best_fitness:20256.492555256333|best_individual:[[4780.00 HP]~[7.39 CR]~[24.09 CD]~[17.51 ATK]~[20.98 EM]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 Pyro]~[57.87 DEF]~[5.83 DEF%]~[6.22 CD]~[12.24 HP%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3133490.996726879|mean:10444.969989089597
best_fitness:20256.492555256333|best_individual:[[4780.00 HP]~[7.39 CR]~[24.09 CD]~[17.51 ATK]~[20.98 EM]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[5.83 DEF%]~[52.52 ATK]~[6.61 CR]~[8.74 ATK%]-[46.60 Pyro]~[57.87 DEF]~[5.83 DEF%]~[6.22 CD]~[12.24 HP%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3171596.9767565327|mean:10571.989922521776
best_fitness:20268.331897150092|best_individual:[[4780.00 HP]~[34.97 EM]~[39.35 DEF]~[6.61 CR]~[11.08 HP%]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3145430.6655112538|mean:10484.768885037513
best_fitness:20268.331897150092|best_individual:[[4780.00 HP]~[34.97 EM]~[39.35 DEF]~[6.61 CR]~[11.08 HP%]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3173974.4510076456|mean:10579.914836692153
best_fitness:20268.331897150092|best_individual:[[4780.00 HP]~[34.97 EM]~[39.35 DEF]~[6.61 CR]~[11.08 HP%]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3164362.925977402|mean:10547.876419924673
best_fitness:20268.331897150092|best_individual:[[4780.00 HP]~[34.97 EM]~[39.35 DEF]~[6.61 CR]~[11.08 HP%]-[311.00 ATK]~[5.25 HP%]~[8.55 CR]~[6.99 CD]~[14.57 ATK%]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3171560.629092388|mean:10571.868763641292
