best_fitness:16324.28549481415|best_individual:[[4780.00 HP]~[13.12 DEF%]~[39.63 EM]~[10.11 CR]~[5.83 ER]-[311.00 ATK]~[16.32 EM]~[27.19 CD]~[3.11 CR]~[10.36 ER]-[51.80 ER]~[5.44 CD]~[39.63 EM]~[4.66 HP%]~[21.57 ATK%]-[46.60 Pyro]~[8.16 HP%]~[39.63 EM]~[33.07 ATK]~[6.22 CR]-[31.10 CR]~[15.16 ATK%]~[18.52 DEF]~[7.77 CD]~[14.57 HP%]]|sum:3025857.7353919153|mean:10086.192451306384
best_fitness:17484.538235567994|best_individual:[[4780.00 HP]~[3.50 CR]~[14.57 ATK%]~[22.53 CD]~[5.83 DEF%]-[311.00 ATK]~[7.78 CR]~[16.32 EM]~[13.99 HP%]~[37.03 DEF]-[46.60 ATK%]~[11.66 DEF%]~[57.87 DEF]~[5.44 CD]~[36.96 ATK]-[46.60 Pyro]~[6.99 CD]~[9.33 HP%]~[6.61 CR]~[62.50 DEF]-[31.10 CR]~[5.25 ATK%]~[23.32 DEF%]~[14.76 CD]~[4.08 HP%]]|sum:3044291.274406243|mean:10147.637581354144
best_fitness:18839.653091014614|best_individual:[[4780.00 HP]~[5.44 CD]~[8.74 ATK%]~[16.19 ER]~[41.67 DEF]-[311.00 ATK]~[10.49 ATK%]~[13.21 CD]~[3.89 CR]~[13.99 HP%]-[46.60 HP%]~[9.33 CR]~[6.22 CD]~[50.92 DEF]~[20.98 EM]-[46.60 Pyro]~[14.76 CD]~[19.45 ATK]~[3.50 CR]~[20.40 ATK%]-[31.10 CR]~[21.76 CD]~[18.22 DEF%]~[18.52 DEF]~[13.62 ATK]]|sum:3078199.6365852677|mean:10260.665455284226
best_fitness:18839.653091014614|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 HP%]~[33.07 ATK]~[39.35 DEF]-[311.00 ATK]~[9.71 ER]~[23.15 DEF]~[44.29 EM]~[14.57 ATK%]-[51.80 ER]~[60.61 EM]~[8.74 HP%]~[5.25 ATK%]~[6.61 CR]-[46.60 Geo]~[5.83 DEF%]~[15.74 ATK%]~[20.20 CD]~[23.31 EM]-[46.60 ATK%]~[3.50 CR]~[18.95 DEF%]~[17.49 ER]~[7.77 CD]]|sum:3126794.3579791924|mean:10422.647859930641
best_fitness:18839.653091014614|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 HP%]~[33.07 ATK]~[39.35 DEF]-[311.00 ATK]~[9.71 ER]~[23.15 DEF]~[44.29 EM]~[14.57 ATK%]-[51.80 ER]~[60.61 EM]~[8.74 HP%]~[5.25 ATK%]~[6.61 CR]-[46.60 Geo]~[5.83 DEF%]~[15.74 ATK%]~[20.20 CD]~[23.31 EM]-[46.60 ATK%]~[3.50 CR]~[18.95 DEF%]~[17.49 ER]~[7.77 CD]]|sum:3137918.144047275|mean:10459.72714682425
best_fitness:19955.384099062936|best_individual:[[4780.00 HP]~[6.61 CR]~[15.54 CD]~[11.66 ER]~[12.39 DEF%]-[311.00 ATK]~[60.18 DEF]~[5.25 ATK%]~[6.61 CR]~[9.32 HP%]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[52.52 ATK]~[13.85 DEF%]~[13.98 CD]~[6.48 ER]]|sum:3131802.39665866|mean:10439.341322195532
best_fitness:19955.384099062936|best_individual:[[4780.00 HP]~[6.61 CR]~[15.54 CD]~[11.66 ER]~[12.39 DEF%]-[311.00 ATK]~[60.18 DEF]~[5.25 ATK%]~[6.61 CR]~[9.32 HP%]-[46.60 HP%]~[8.74 ATK%]~[6.22 CR]~[14.76 CD]~[31.13 ATK]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[52.52 ATK]~[13.85 DEF%]~[13.98 CD]~[6.48 ER]]|sum:3149536.125894761|mean:10498.453752982537
best_fitness:20146.756561130966|best_individual:[[4780.00 HP]~[16.84 ER]~[8.55 CR]~[7.29 DEF%]~[18.65 EM]-[311.00 ATK]~[9.72 CR]~[34.97 EM]~[9.32 HP%]~[4.08 ATK%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[52.52 ATK]~[13.85 DEF%]~[13.98 CD]~[6.48 ER]]|sum:3120043.074267607|mean:10400.143580892023
best_fitness:20146.756561130966|best_individual:[[4780.00 HP]~[16.84 ER]~[8.55 CR]~[7.29 DEF%]~[18.65 EM]-[311.00 ATK]~[9.72 CR]~[34.97 EM]~[9.32 HP%]~[4.08 ATK%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[52.52 ATK]~[13.85 DEF%]~[13.98 CD]~[6.48 ER]]|sum:3142858.632294653|mean:10476.195440982177
best_fitness:20959.56840137286|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[9.72 CR]~[34.97 EM]~[9.32 HP%]~[4.08 ATK%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[8.16 HP%]~[39.63 EM]~[33.07 ATK]~[6.22 CR]-[31.10 CR]~[52.52 ATK]~[13.85 DEF%]~[13.98 CD]~[6.48 ER]]|sum:3191652.477666938|mean:10638.841592223127
best_fitness:20959.56840137286|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[9.72 CR]~[34.97 EM]~[9.32 HP%]~[4.08 ATK%]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[8.16 HP%]~[39.63 EM]~[33.07 ATK]~[6.22 CR]-[31.10 CR]~[52.52 ATK]~[13.85 DEF%]~[13.98 CD]~[6.48 ER]]|sum:3195922.4069347642|mean:10653.074689782547
