best_fitness:21376.826640036845|best_individual:[[4780.00 HP]~[6.48 ER]~[13.62 ATK]~[13.22 CR]~[37.04 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3031452.656814662|mean:10104.842189382207
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3088903.4892392484|mean:10296.344964130829
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3122744.200531126|mean:10409.147335103753
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3122890.422337224|mean:10409.634741124079
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3119815.3158941264|mean:10399.384386313755
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3155902.076413034|mean:10519.673588043446
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3220580.8652818985|mean:10735.269550939662
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3218625.335550829|mean:10728.751118502763
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3172695.711124058|mean:10575.652370413527
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3160786.779093755|mean:10535.955930312517
best_fitness:22314.100419514976|best_individual:[[4780.00 HP]~[19.45 ATK]~[28.74 CD]~[8.74 HP%]~[20.83 DEF]-[311.00 ATK]~[18.65 EM]~[4.08 ATK%]~[14.39 CR]~[10.50 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[16.33 ATK%]~[6.22 CD]~[6.61 CR]~[27.24 ATK]-[31.10 CR]~[13.99 HP%]~[34.97 EM]~[14.76 CD]~[4.53 ER]]|sum:3128102.153296932|mean:10427.00717765644
