best_fitness:17659.445624114596|best_individual:[[4780.00 HP]~[13.12 DEF%]~[39.63 EM]~[10.11 CR]~[5.83 ER]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 Pyro]~[14.76 CD]~[19.45 ATK]~[3.50 CR]~[20.40 ATK%]-[31.10 CR]~[21.76 CD]~[18.22 DEF%]~[18.52 DEF]~[13.62 ATK]]|sum:3004861.0261307163|mean:10016.20342043572
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[20.83 DEF]~[8.74 ATK%]~[11.66 CD]~[8.94 CR]-[46.60 Pyro]~[37.30 EM]~[6.61 CR]~[11.66 ER]~[11.66 HP%]-[31.10 CR]~[5.25 HP%]~[28.57 ATK%]~[6.22 CD]~[16.20 DEF]]|sum:3089044.049994539|mean:10296.813499981798
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3156692.6540933354|mean:10522.308846977785
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3197549.6595944725|mean:10658.498865314908
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3223248.298235431|mean:10744.160994118103
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3171860.9906652607|mean:10572.869968884203
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3211958.7099155737|mean:10706.529033051913
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3222722.959432743|mean:10742.40986477581
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3212068.091710827|mean:10706.893639036089
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3266730.926390169|mean:10889.10308796723
best_fitness:20251.655711443862|best_individual:[[4780.00 HP]~[9.91 ATK%]~[7.00 CR]~[5.25 HP%]~[67.13 DEF]-[311.00 ATK]~[13.98 CD]~[7.78 CR]~[11.08 HP%]~[12.39 DEF%]-[187.00 EM]~[4.08 HP%]~[29.88 DEF%]~[6.99 CD]~[5.18 ER]-[58.30 DEF%]~[18.65 ATK%]~[43.98 DEF]~[5.25 HP%]~[20.98 EM]-[31.10 CR]~[15.74 HP%]~[5.10 DEF%]~[18.65 EM]~[52.52 ATK]]|sum:3284806.509080993|mean:10949.355030269977
