best_fitness:18678.96040664021|best_individual:[[4780.00 HP]~[19.42 CD]~[5.83 CR]~[5.25 ATK%]~[11.66 ER]-[311.00 ATK]~[9.91 ATK%]~[18.65 EM]~[26.42 CD]~[7.29 DEF%]-[46.60 HP%]~[9.33 CR]~[6.22 CD]~[50.92 DEF]~[20.98 EM]-[46.60 Pyro]~[16.20 DEF]~[4.08 ATK%]~[16.84 ER]~[15.74 HP%]-[31.10 CR]~[16.20 DEF]~[14.57 ATK%]~[7.29 DEF%]~[13.99 HP%]]|sum:3064135.7806584644|mean:10213.785935528214
best_fitness:20143.487181173103|best_individual:[[4780.00 HP]~[19.42 CD]~[5.83 CR]~[5.25 ATK%]~[11.66 ER]-[311.00 ATK]~[11.08 HP%]~[23.31 EM]~[5.18 ER]~[13.22 CR]-[46.60 HP%]~[9.33 CR]~[6.22 CD]~[50.92 DEF]~[20.98 EM]-[46.60 Pyro]~[14.76 CD]~[19.45 ATK]~[3.50 CR]~[20.40 ATK%]-[31.10 CR]~[7.77 CD]~[17.49 ER]~[39.63 EM]~[39.35 DEF]]|sum:3134539.6064640936|mean:10448.465354880313
best_fitness:20143.487181173103|best_individual:[[4780.00 HP]~[6.48 ER]~[20.83 DEF]~[11.08 HP%]~[26.42 CD]-[311.00 ATK]~[18.22 DEF%]~[3.11 CR]~[15.54 CD]~[10.49 ATK%]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[37.03 DEF]~[13.12 DEF%]-[46.60 Cryo]~[13.85 DEF%]~[2.72 CR]~[22.15 ATK%]~[5.44 CD]-[35.90 Healing]~[23.15 DEF]~[15.16 ATK%]~[23.31 EM]~[22.53 CD]]|sum:3224581.822390738|mean:10748.606074635793
best_fitness:20143.487181173103|best_individual:[[4780.00 HP]~[6.48 ER]~[20.83 DEF]~[11.08 HP%]~[26.42 CD]-[311.00 ATK]~[18.22 DEF%]~[3.11 CR]~[15.54 CD]~[10.49 ATK%]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[37.03 DEF]~[13.12 DEF%]-[46.60 Cryo]~[13.85 DEF%]~[2.72 CR]~[22.15 ATK%]~[5.44 CD]-[35.90 Healing]~[23.15 DEF]~[15.16 ATK%]~[23.31 EM]~[22.53 CD]]|sum:3234498.4616566678|mean:10781.661538855558
best_fitness:20143.487181173103|best_individual:[[4780.00 HP]~[6.48 ER]~[20.83 DEF]~[11.08 HP%]~[26.42 CD]-[311.00 ATK]~[18.22 DEF%]~[3.11 CR]~[15.54 CD]~[10.49 ATK%]-[46.60 ATK%]~[10.88 CD]~[39.63 EM]~[37.03 DEF]~[13.12 DEF%]-[46.60 Cryo]~[13.85 DEF%]~[2.72 CR]~[22.15 ATK%]~[5.44 CD]-[35.90 Healing]~[23.15 DEF]~[15.16 ATK%]~[23.31 EM]~[22.53 CD]]|sum:3191546.730026866|mean:10638.489100089553
best_fitness:21213.1929142926|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[12.39 DEF%]~[7.00 CR]~[13.99 CD]~[9.91 ATK%]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[11.66 ER]~[3.50 CR]~[44.29 EM]~[21.75 CD]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3217932.6811486655|mean:10726.442270495552
best_fitness:21213.1929142926|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[12.39 DEF%]~[7.00 CR]~[13.99 CD]~[9.91 ATK%]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[11.66 ER]~[3.50 CR]~[44.29 EM]~[21.75 CD]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3208217.8875608994|mean:10694.059625202997
best_fitness:21213.1929142926|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[12.39 DEF%]~[7.00 CR]~[13.99 CD]~[9.91 ATK%]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[11.66 ER]~[3.50 CR]~[44.29 EM]~[21.75 CD]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3224838.803594752|mean:10749.462678649174
best_fitness:21369.96281111177|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[11.66 CD]~[5.83 HP%]~[48.63 ATK]~[11.66 ER]]|sum:3215734.587620379|mean:10719.11529206793
best_fitness:21369.96281111177|best_individual:[[4780.00 HP]~[2.72 CR]~[17.87 CD]~[16.91 HP%]~[16.32 EM]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[5.83 ATK%]~[15.94 CR]~[13.62 ATK]-[46.60 Pyro]~[4.66 HP%]~[55.55 DEF]~[8.94 CR]~[5.25 ATK%]-[31.10 CR]~[11.66 CD]~[5.83 HP%]~[48.63 ATK]~[11.66 ER]]|sum:3210516.6568392585|mean:10701.722189464195
best_fitness:21719.697182487118|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3221016.849024728|mean:10736.722830082426
best_fitness:21719.697182487118|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3210176.0179659845|mean:10700.586726553282
best_fitness:21719.697182487118|best_individual:[[4780.00 HP]~[17.51 ATK]~[16.76 DEF%]~[10.50 CR]~[4.66 HP%]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[33.07 ATK]~[8.74 ATK%]~[14.76 CD]~[8.16 HP%]]|sum:3203702.629594118|mean:10679.008765313727
best_fitness:22086.42077270815|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3202376.874066944|mean:10674.589580223146
best_fitness:22086.42077270815|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3198882.549257593|mean:10662.941830858645
best_fitness:22209.89781868601|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3217196.563426028|mean:10723.988544753427
best_fitness:22209.89781868601|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[9.32 ATK%]~[18.65 EM]~[18.65 CD]~[6.61 CR]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3202004.115113792|mean:10673.347050379307
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3253557.9210317833|mean:10845.193070105945
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3235629.7268341784|mean:10785.432422780596
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3242507.3334110575|mean:10808.357778036858
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3268870.484699288|mean:10896.234948997626
best_fitness:22696.32633597697|best_individual:[[4780.00 HP]~[4.53 ER]~[19.45 ATK]~[21.76 CD]~[9.72 CR]-[311.00 ATK]~[16.20 DEF]~[7.78 CR]~[20.98 EM]~[29.52 CD]-[46.60 HP%]~[18.65 EM]~[19.43 CD]~[8.16 CR]~[6.48 ER]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[31.10 CR]~[40.86 ATK]~[4.08 HP%]~[18.65 CD]~[7.29 DEF%]]|sum:3255476.0425666915|mean:10851.586808555638
