best_fitness:24503.713378124998|best_individual:[[4780.00 HP]~[7.39 CR]~[34.72 DEF]~[10.49 HP%]~[11.66 DEF%]-[311.00 ATK]~[8.74 ATK%]~[13.99 HP%]~[12.96 ER]~[16.32 EM]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Anemo]~[9.33 HP%]~[7.29 DEF%]~[62.50 DEF]~[39.63 EM]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5762887.854975|mean:19209.62618325
best_fitness:25389.656559375002|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[8.74 ATK%]~[13.99 HP%]~[12.96 ER]~[16.32 EM]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 Pyro]~[18.52 DEF]~[18.64 HP%]~[7.00 CR]~[6.56 DEF%]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5785944.557953126|mean:19286.481859843752
best_fitness:26200.820559375003|best_individual:[[4780.00 HP]~[4.66 HP%]~[13.62 ATK]~[44.29 EM]~[83.33 DEF]-[311.00 ATK]~[20.41 ATK%]~[20.83 DEF]~[9.33 HP%]~[3.89 CR]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[16.32 EM]~[39.35 DEF]~[20.98 CD]~[7.00 CR]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5781199.248553125|mean:19270.66416184375
best_fitness:26200.820559375003|best_individual:[[4780.00 HP]~[4.66 HP%]~[13.62 ATK]~[44.29 EM]~[83.33 DEF]-[311.00 ATK]~[20.41 ATK%]~[20.83 DEF]~[9.33 HP%]~[3.89 CR]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[16.32 EM]~[39.35 DEF]~[20.98 CD]~[7.00 CR]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5772045.769790625|mean:19240.15256596875
best_fitness:26200.820559375003|best_individual:[[4780.00 HP]~[4.66 HP%]~[13.62 ATK]~[44.29 EM]~[83.33 DEF]-[311.00 ATK]~[20.41 ATK%]~[20.83 DEF]~[9.33 HP%]~[3.89 CR]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[16.32 EM]~[39.35 DEF]~[20.98 CD]~[7.00 CR]-[46.60 HP%]~[7.29 DEF%]~[6.99 CD]~[68.08 ATK]~[41.96 EM]]|sum:5801068.964221876|mean:19336.896547406253
best_fitness:26940.373987500003|best_individual:[[4780.00 HP]~[10.50 HP%]~[64.81 DEF]~[4.53 ER]~[6.22 CR]-[311.00 ATK]~[15.16 HP%]~[20.83 DEF]~[5.83 CR]~[13.85 DEF%]-[46.60 HP%]~[10.49 ATK%]~[11.66 ER]~[20.98 CD]~[7.29 DEF%]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[64.81 DEF]~[19.43 CD]~[4.66 ATK%]~[3.11 CR]]|sum:5811073.531462501|mean:19370.245104875004
best_fitness:26940.373987500003|best_individual:[[4780.00 HP]~[4.08 ATK%]~[20.98 EM]~[81.02 DEF]~[9.06 ER]-[311.00 ATK]~[9.91 ATK%]~[5.25 HP%]~[34.97 EM]~[9.72 CR]-[46.60 HP%]~[5.44 CD]~[2.72 CR]~[74.06 DEF]~[13.12 DEF%]-[58.30 DEF%]~[39.63 EM]~[58.37 ATK]~[5.25 ATK%]~[7.77 CD]-[31.10 CR]~[8.74 HP%]~[10.49 ATK%]~[57.87 DEF]~[4.53 ER]]|sum:5787244.321518751|mean:19290.8144050625
best_fitness:26940.373987500003|best_individual:[[4780.00 HP]~[6.48 ER]~[5.44 CR]~[9.91 HP%]~[60.18 DEF]-[311.00 ATK]~[4.66 HP%]~[13.59 ER]~[10.50 CR]~[20.98 EM]-[187.00 EM]~[5.83 ER]~[35.01 ATK]~[11.66 CD]~[13.99 ATK%]-[46.60 HP%]~[13.21 CD]~[57.87 DEF]~[4.53 ER]~[33.07 ATK]-[31.10 CR]~[6.56 DEF%]~[14.76 CD]~[16.32 EM]~[22.02 ER]]|sum:5808734.464021876|mean:19362.448213406256
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[2.72 CR]~[18.07 ATK%]~[9.91 HP%]~[6.22 CD]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[10.50 ATK%]~[23.15 DEF]~[10.36 ER]~[10.89 CR]-[46.60 HP%]~[14.76 CD]~[5.25 ATK%]~[35.02 ATK]~[15.30 DEF%]]|sum:5838760.84018125|mean:19462.5361339375
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[2.72 CR]~[18.07 ATK%]~[9.91 HP%]~[6.22 CD]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[10.50 ATK%]~[23.15 DEF]~[10.36 ER]~[10.89 CR]-[46.60 HP%]~[14.76 CD]~[5.25 ATK%]~[35.02 ATK]~[15.30 DEF%]]|sum:5815556.480006251|mean:19385.188266687503
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[2.72 CR]~[18.07 ATK%]~[9.91 HP%]~[6.22 CD]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[10.50 ATK%]~[23.15 DEF]~[10.36 ER]~[10.89 CR]-[46.60 HP%]~[14.76 CD]~[5.25 ATK%]~[35.02 ATK]~[15.30 DEF%]]|sum:5773747.946746876|mean:19245.826489156254
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[2.72 CR]~[18.07 ATK%]~[9.91 HP%]~[6.22 CD]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[10.50 ATK%]~[23.15 DEF]~[10.36 ER]~[10.89 CR]-[46.60 HP%]~[14.76 CD]~[5.25 ATK%]~[35.02 ATK]~[15.30 DEF%]]|sum:5766951.279637501|mean:19223.170932125002
best_fitness:27567.75864375|best_individual:[[4780.00 HP]~[2.72 CR]~[18.07 ATK%]~[9.91 HP%]~[6.22 CD]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[43.98 DEF]~[16.32 EM]~[24.05 DEF%]~[4.53 ER]-[46.60 HP%]~[10.50 ATK%]~[23.15 DEF]~[10.36 ER]~[10.89 CR]-[46.60 HP%]~[14.76 CD]~[5.25 ATK%]~[35.02 ATK]~[15.30 DEF%]]|sum:5744579.63000625|mean:19148.5987666875
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[6.99 CD]~[39.35 DEF]~[14.24 ER]~[6.61 CR]-[46.60 HP%]~[10.50 ATK%]~[23.15 DEF]~[10.36 ER]~[10.89 CR]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5733816.497681251|mean:19112.721658937502
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5742118.887965626|mean:19140.396293218753
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5757957.4987875|mean:19193.191662625
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5720952.577340626|mean:19069.841924468754
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5747951.664103126|mean:19159.838880343756
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5744028.291975001|mean:19146.760973250002
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5745576.474515626|mean:19151.921581718754
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5758167.8944500005|mean:19193.8929815
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5761005.067284375|mean:19203.35022428125
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5773267.585565626|mean:19244.225285218752
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5746098.661340625|mean:19153.66220446875
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5789275.400128126|mean:19297.584667093754
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5793748.209121875|mean:19312.49403040625
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5815495.642706251|mean:19384.985475687503
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[12.31 ER]~[14.76 CD]~[41.96 EM]~[33.07 ATK]-[311.00 ATK]~[21.86 DEF%]~[8.16 ATK%]~[4.53 ER]~[23.15 DEF]-[51.80 ER]~[18.65 EM]~[60.31 ATK]~[9.33 ATK%]~[5.10 DEF%]-[46.60 Electro]~[13.99 ATK%]~[36.96 ATK]~[11.66 ER]~[6.99 CD]-[62.20 CD]~[7.29 DEF%]~[23.90 HP%]~[18.65 EM]~[5.83 ER]]|sum:5810080.489284376|mean:19366.934964281252
