best_fitness:26866.228528125|best_individual:[[4780.00 HP]~[44.29 EM]~[11.66 DEF%]~[16.20 DEF]~[14.58 HP%]-[311.00 ATK]~[9.91 HP%]~[13.12 DEF%]~[18.65 EM]~[50.92 DEF]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[18.65 ATK%]~[3.50 CR]~[41.96 EM]~[20.83 DEF]-[46.60 HP%]~[14.76 CD]~[5.25 ATK%]~[35.02 ATK]~[15.30 DEF%]]|sum:5769641.428996876|mean:19232.138096656254
best_fitness:27013.885725|best_individual:[[4780.00 HP]~[6.48 ER]~[20.83 DEF]~[11.08 HP%]~[26.42 CD]-[311.00 ATK]~[15.74 HP%]~[23.31 EM]~[7.77 CD]~[16.19 ER]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5786733.541687501|mean:19289.111805625
best_fitness:27013.885725|best_individual:[[4780.00 HP]~[9.33 CR]~[13.21 CD]~[11.66 ATK%]~[5.83 DEF%]-[311.00 ATK]~[5.25 ATK%]~[13.21 CD]~[7.78 CR]~[60.61 EM]-[187.00 EM]~[13.85 DEF%]~[22.02 ER]~[13.62 ATK]~[18.52 DEF]-[46.60 Hydro]~[20.07 ER]~[13.98 CD]~[4.08 HP%]~[4.08 ATK%]-[187.00 EM]~[5.10 DEF%]~[10.36 ER]~[18.07 ATK%]~[4.66 HP%]]|sum:5759407.4544375|mean:19198.024848125
best_fitness:27013.885725|best_individual:[[4780.00 HP]~[10.20 DEF%]~[18.52 DEF]~[9.71 ER]~[9.72 CR]-[311.00 ATK]~[4.08 HP%]~[41.96 EM]~[6.22 CR]~[18.95 DEF%]-[46.60 HP%]~[23.31 EM]~[6.56 DEF%]~[50.58 ATK]~[15.54 ER]-[46.60 Cryo]~[13.12 DEF%]~[32.64 EM]~[10.50 HP%]~[7.39 CR]-[35.90 Healing]~[10.36 ER]~[10.50 CR]~[11.66 CD]~[17.51 ATK]]|sum:5758741.4127468765|mean:19195.804709156255
best_fitness:27013.885725|best_individual:[[4780.00 HP]~[6.22 CD]~[39.63 EM]~[15.16 ATK%]~[35.01 ATK]-[311.00 ATK]~[14.58 HP%]~[8.16 ATK%]~[11.66 ER]~[7.29 DEF%]-[58.30 DEF%]~[23.31 EM]~[5.83 ER]~[14.57 HP%]~[10.11 CR]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[35.90 Healing]~[10.36 ER]~[13.85 DEF%]~[9.33 HP%]~[6.22 CR]]|sum:5790303.297009375|mean:19301.01099003125
best_fitness:27013.885725|best_individual:[[4780.00 HP]~[6.22 CD]~[39.63 EM]~[15.16 ATK%]~[35.01 ATK]-[311.00 ATK]~[14.58 HP%]~[8.16 ATK%]~[11.66 ER]~[7.29 DEF%]-[58.30 DEF%]~[23.31 EM]~[5.83 ER]~[14.57 HP%]~[10.11 CR]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[35.90 Healing]~[10.36 ER]~[13.85 DEF%]~[9.33 HP%]~[6.22 CR]]|sum:5770927.25068125|mean:19236.4241689375
best_fitness:27013.885725|best_individual:[[4780.00 HP]~[6.22 CD]~[39.63 EM]~[15.16 ATK%]~[35.01 ATK]-[311.00 ATK]~[14.58 HP%]~[8.16 ATK%]~[11.66 ER]~[7.29 DEF%]-[58.30 DEF%]~[23.31 EM]~[5.83 ER]~[14.57 HP%]~[10.11 CR]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[35.90 Healing]~[10.36 ER]~[13.85 DEF%]~[9.33 HP%]~[6.22 CR]]|sum:5795398.420884375|mean:19317.994736281253
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[12.31 ER]~[54.47 ATK]~[20.83 DEF]~[15.54 CD]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5805451.1509875|mean:19351.503836625
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[12.31 ER]~[54.47 ATK]~[20.83 DEF]~[15.54 CD]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5817219.366206251|mean:19390.731220687503
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[12.31 ER]~[54.47 ATK]~[20.83 DEF]~[15.54 CD]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5828995.819809375|mean:19429.98606603125
best_fitness:27641.904103125005|best_individual:[[4780.00 HP]~[11.66 ATK%]~[13.98 CD]~[7.00 CR]~[11.08 HP%]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[12.31 ER]~[54.47 ATK]~[20.83 DEF]~[15.54 CD]-[46.60 HP%]~[9.06 ER]~[3.11 CR]~[13.40 ATK%]~[39.63 EM]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5829095.947865626|mean:19430.319826218754
