best_fitness:25831.36070625|best_individual:[[4780.00 HP]~[18.22 DEF%]~[4.66 ATK%]~[39.63 EM]~[8.16 HP%]-[311.00 ATK]~[11.66 ER]~[21.87 DEF%]~[5.83 ATK%]~[39.63 EM]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[21.14 DEF%]~[11.01 ER]~[11.08 ATK%]~[18.52 DEF]]|sum:5715972.790846875|mean:19053.24263615625
best_fitness:26532.890821875|best_individual:[[4780.00 HP]~[87.96 DEF]~[19.45 ATK]~[4.66 HP%]~[6.56 DEF%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[16.84 ER]~[10.93 DEF%]~[37.04 DEF]~[6.99 CD]-[46.60 HP%]~[3.89 CR]~[57.87 DEF]~[4.08 ATK%]~[19.43 CD]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5729926.079090625|mean:19099.75359696875
best_fitness:26532.890821875|best_individual:[[4780.00 HP]~[87.96 DEF]~[19.45 ATK]~[4.66 HP%]~[6.56 DEF%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[16.84 ER]~[10.93 DEF%]~[37.04 DEF]~[6.99 CD]-[46.60 HP%]~[3.89 CR]~[57.87 DEF]~[4.08 ATK%]~[19.43 CD]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5777284.114809376|mean:19257.613716031254
best_fitness:26532.890821875|best_individual:[[4780.00 HP]~[87.96 DEF]~[19.45 ATK]~[4.66 HP%]~[6.56 DEF%]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[16.84 ER]~[10.93 DEF%]~[37.04 DEF]~[6.99 CD]-[46.60 HP%]~[3.89 CR]~[57.87 DEF]~[4.08 ATK%]~[19.43 CD]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5762147.034103125|mean:19207.15678034375
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[14.57 HP%]~[11.01 ER]~[6.56 DEF%]~[14.76 CD]-[46.60 HP%]~[16.84 ER]~[10.93 DEF%]~[37.04 DEF]~[6.99 CD]-[46.60 HP%]~[3.89 CR]~[57.87 DEF]~[4.08 ATK%]~[19.43 CD]-[46.60 HP%]~[7.29 DEF%]~[10.36 ER]~[9.72 CR]~[39.35 DEF]]|sum:5786541.523959376|mean:19288.471746531253
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[10.20 DEF%]~[15.54 ER]~[27.24 ATK]~[5.25 ATK%]-[311.00 ATK]~[13.12 DEF%]~[5.44 CD]~[19.24 HP%]~[3.11 CR]-[58.30 DEF%]~[5.25 HP%]~[20.98 EM]~[18.79 ER]~[9.33 CR]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5770304.302078126|mean:19234.347673593755
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[10.20 DEF%]~[15.54 ER]~[27.24 ATK]~[5.25 ATK%]-[311.00 ATK]~[13.12 DEF%]~[5.44 CD]~[19.24 HP%]~[3.11 CR]-[58.30 DEF%]~[5.25 HP%]~[20.98 EM]~[18.79 ER]~[9.33 CR]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5743167.063946876|mean:19143.890213156254
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[10.20 DEF%]~[15.54 ER]~[27.24 ATK]~[5.25 ATK%]-[311.00 ATK]~[13.12 DEF%]~[5.44 CD]~[19.24 HP%]~[3.11 CR]-[58.30 DEF%]~[5.25 HP%]~[20.98 EM]~[18.79 ER]~[9.33 CR]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5744063.7804000005|mean:19146.879268
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[10.20 DEF%]~[15.54 ER]~[27.24 ATK]~[5.25 ATK%]-[311.00 ATK]~[13.12 DEF%]~[5.44 CD]~[19.24 HP%]~[3.11 CR]-[58.30 DEF%]~[5.25 HP%]~[20.98 EM]~[18.79 ER]~[9.33 CR]-[58.30 Physical]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]~[9.91 ATK%]-[46.60 HP%]~[6.22 CD]~[13.99 ATK%]~[11.01 ER]~[31.12 ATK]]|sum:5728566.74566875|mean:19095.2224855625
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5758492.993771875|mean:19194.976645906252
best_fitness:27345.9559875|best_individual:[[4780.00 HP]~[10.93 DEF%]~[29.18 ATK]~[6.22 CR]~[11.08 HP%]-[311.00 ATK]~[3.11 CR]~[11.66 CD]~[20.98 HP%]~[23.15 DEF]-[46.60 HP%]~[34.72 DEF]~[10.36 ER]~[6.56 DEF%]~[67.60 EM]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5737694.875556251|mean:19125.649585187504
