best_fitness:26274.332296875004|best_individual:[[4780.00 HP]~[18.95 DEF%]~[10.49 HP%]~[13.98 CD]~[13.62 ATK]-[311.00 ATK]~[4.66 HP%]~[41.96 EM]~[13.98 CD]~[16.84 ER]-[46.60 HP%]~[12.31 ER]~[54.47 ATK]~[20.83 DEF]~[15.54 CD]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[60.18 DEF]~[5.44 CD]~[12.39 DEF%]~[27.24 ATK]]|sum:5774774.576184375|mean:19249.24858728125
best_fitness:26754.693478125002|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[4.08 ATK%]~[41.96 EM]~[13.98 CD]~[13.99 HP%]-[46.60 HP%]~[16.32 CD]~[16.20 DEF]~[53.62 EM]~[5.18 ER]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5787957.892350001|mean:19293.192974500005
best_fitness:26754.693478125002|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[4.08 ATK%]~[41.96 EM]~[13.98 CD]~[13.99 HP%]-[46.60 HP%]~[16.32 CD]~[16.20 DEF]~[53.62 EM]~[5.18 ER]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5831260.108068751|mean:19437.533693562506
best_fitness:26754.693478125002|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[4.08 ATK%]~[41.96 EM]~[13.98 CD]~[13.99 HP%]-[46.60 HP%]~[16.32 CD]~[16.20 DEF]~[53.62 EM]~[5.18 ER]-[46.60 HP%]~[39.63 EM]~[5.10 DEF%]~[76.38 DEF]~[5.83 ATK%]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5756209.693856251|mean:19187.365646187503
best_fitness:26902.984396875|best_individual:[[4780.00 HP]~[9.32 ATK%]~[5.25 HP%]~[28.74 CD]~[20.83 DEF]-[311.00 ATK]~[37.04 DEF]~[19.82 HP%]~[5.18 ER]~[5.25 ATK%]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[7.29 DEF%]~[10.36 ER]~[9.72 CR]~[39.35 DEF]]|sum:5774037.557643751|mean:19246.791858812503
best_fitness:26939.740265625|best_individual:[[4780.00 HP]~[14.76 CD]~[9.72 CR]~[27.24 ATK]~[16.32 EM]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[13.12 DEF%]~[5.25 ATK%]~[12.44 CR]~[18.52 DEF]-[46.60 HP%]~[5.83 DEF%]~[41.96 EM]~[9.72 CR]~[13.21 CD]]|sum:5816449.394128125|mean:19388.164647093752
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5811373.281909375|mean:19371.24427303125
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5811024.734878126|mean:19370.082449593752
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5807963.2245000005|mean:19359.877415000003
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5818156.007137501|mean:19393.853357125
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5830740.45613125|mean:19435.8015204375
best_fitness:27493.613184375004|best_individual:[[4780.00 HP]~[8.74 HP%]~[27.24 ATK]~[15.74 ATK%]~[6.48 ER]-[311.00 ATK]~[23.31 EM]~[23.15 DEF]~[6.56 DEF%]~[25.65 HP%]-[46.60 HP%]~[4.53 ER]~[13.98 CD]~[35.01 ATK]~[10.50 CR]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[27.20 CD]~[2.72 CR]~[8.74 ATK%]~[4.53 ER]]|sum:5855295.2776218755|mean:19517.65092540625
