best_fitness:26274.966018750005|best_individual:[[4780.00 HP]~[13.62 ATK]~[11.66 DEF%]~[5.83 HP%]~[83.33 DEF]-[311.00 ATK]~[9.33 HP%]~[2.72 CR]~[9.33 ATK%]~[17.87 CD]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[39.35 DEF]~[20.98 CD]~[13.62 ATK]~[41.96 EM]-[46.60 HP%]~[18.22 DEF%]~[16.20 DEF]~[13.99 ATK%]~[16.32 EM]]|sum:5760908.1078375|mean:19203.027026125
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5763187.605421875|mean:19210.62535140625
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5735253.77889375|mean:19117.5125963125
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5779471.722721876|mean:19264.905742406252
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5798026.465500001|mean:19326.754885000002
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5825896.9198406255|mean:19419.656399468753
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5856757.907709376|mean:19522.526359031253
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5850447.939000001|mean:19501.493130000003
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5840625.249937501|mean:19468.750833125003
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5813496.8839125|mean:19378.322946375
best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[10.50 CR]~[12.31 ER]~[6.56 DEF%]~[9.91 HP%]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[5.83 ER]~[5.83 CR]~[18.95 DEF%]~[32.40 DEF]-[46.60 HP%]~[18.52 DEF]~[9.91 ATK%]~[66.14 ATK]~[3.50 CR]-[46.60 HP%]~[33.07 ATK]~[9.33 ATK%]~[15.54 CD]~[5.44 CR]]|sum:5805832.651556252|mean:19352.775505187506
