best_fitness:25314.243656250008|best_individual:[[4780.00 HP]~[36.96 ATK]~[17.49 ER]~[7.77 CD]~[11.66 ATK%]-[311.00 ATK]~[7.39 CR]~[12.39 DEF%]~[17.10 CD]~[23.15 DEF]-[46.60 HP%]~[10.36 ER]~[23.15 DEF]~[24.09 CD]~[18.65 EM]-[46.60 HP%]~[13.21 CD]~[6.56 DEF%]~[16.20 DEF]~[76.93 EM]-[46.60 HP%]~[19.43 CD]~[11.66 DEF%]~[9.71 ER]~[17.51 ATK]]|sum:5761998.743184376|mean:19206.66247728125
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5733959.085103125|mean:19113.19695034375
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5765181.9281625|mean:19217.273093875
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5763257.948550001|mean:19210.859828500004
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5784790.55041875|mean:19282.6351680625
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5782174.5465187505|mean:19273.915155062503
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5796170.2941281255|mean:19320.56764709375
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5828919.139462501|mean:19429.730464875003
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5855831.406328126|mean:19519.438021093752
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5810423.33281875|mean:19368.077776062502
best_fitness:27641.27038125|best_individual:[[4780.00 HP]~[5.25 ATK%]~[11.01 ER]~[5.83 DEF%]~[17.48 HP%]-[311.00 ATK]~[12.39 DEF%]~[5.83 ER]~[19.24 HP%]~[3.11 CR]-[46.60 HP%]~[18.65 EM]~[33.07 ATK]~[25.51 DEF%]~[23.15 DEF]-[46.60 HP%]~[15.74 ATK%]~[23.15 DEF]~[15.54 ER]~[17.51 ATK]-[46.60 HP%]~[9.72 CR]~[18.22 DEF%]~[20.83 DEF]~[4.66 ATK%]]|sum:5855153.323921875|mean:19517.17774640625
