best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[62.50 DEF]~[11.66 ATK%]~[9.91 HP%]~[5.83 ER]-[311.00 ATK]~[46.30 DEF]~[14.57 HP%]~[6.48 ER]~[6.61 CR]-[46.60 HP%]~[44.29 EM]~[23.15 DEF]~[11.66 ATK%]~[46.69 ATK]-[46.60 HP%]~[78.70 DEF]~[9.91 ATK%]~[13.62 ATK]~[5.44 CD]-[46.60 HP%]~[17.51 ATK]~[19.68 DEF%]~[19.43 CD]~[20.83 DEF]]|sum:5780595.945328125|mean:19268.65315109375
best_fitness:26977.12985625|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[43.98 DEF]~[12.96 ER]~[52.52 ATK]~[16.32 EM]]|sum:5783019.297778125|mean:19276.730992593748
best_fitness:26977.12985625|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[43.98 DEF]~[12.96 ER]~[52.52 ATK]~[16.32 EM]]|sum:5764456.9503375|mean:19214.856501125
best_fitness:26977.12985625|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[43.98 DEF]~[12.96 ER]~[52.52 ATK]~[16.32 EM]]|sum:5769285.277303126|mean:19230.950924343753
best_fitness:26977.12985625|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[43.98 DEF]~[12.96 ER]~[52.52 ATK]~[16.32 EM]]|sum:5809513.941928126|mean:19365.046473093753
best_fitness:26977.12985625|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[43.98 DEF]~[12.96 ER]~[52.52 ATK]~[16.32 EM]]|sum:5814050.123109376|mean:19380.167077031252
best_fitness:26977.12985625|best_individual:[[4780.00 HP]~[15.16 HP%]~[10.88 CD]~[5.83 ATK%]~[6.22 CR]-[311.00 ATK]~[11.08 HP%]~[55.55 DEF]~[11.08 ATK%]~[7.77 CD]-[46.60 HP%]~[18.65 EM]~[31.13 ATK]~[15.16 ATK%]~[13.21 CD]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[43.98 DEF]~[12.96 ER]~[52.52 ATK]~[16.32 EM]]|sum:5821025.4997875|mean:19403.418332625002
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.65 EM]~[16.33 ATK%]~[3.50 CR]~[21.76 CD]]|sum:5833793.094403126|mean:19445.976981343756
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.65 EM]~[16.33 ATK%]~[3.50 CR]~[21.76 CD]]|sum:5813093.203078127|mean:19376.977343593757
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.65 EM]~[16.33 ATK%]~[3.50 CR]~[21.76 CD]]|sum:5812795.98751875|mean:19375.986625062502
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[17.51 ATK]~[5.44 CR]~[39.35 DEF]~[15.16 HP%]-[311.00 ATK]~[14.57 HP%]~[2.72 CR]~[55.55 DEF]~[18.65 EM]-[46.60 HP%]~[6.61 CR]~[18.65 EM]~[19.45 ATK]~[19.24 ATK%]-[46.60 HP%]~[7.78 CR]~[33.07 ATK]~[23.15 DEF]~[18.65 CD]-[46.60 HP%]~[18.65 EM]~[16.33 ATK%]~[3.50 CR]~[21.76 CD]]|sum:5817442.436306251|mean:19391.474787687504
