best_fitness:26865.594806250003|best_individual:[[4780.00 HP]~[11.66 ER]~[5.44 CR]~[37.30 EM]~[9.33 HP%]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[3.11 CR]~[19.24 ATK%]~[5.44 CD]~[11.01 ER]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5816837.8656375|mean:19389.459552125
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5802252.756684376|mean:19340.842522281255
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5805412.493953126|mean:19351.374979843753
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5801060.725837501|mean:19336.869086125003
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5793452.261006251|mean:19311.507536687503
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5749451.050059376|mean:19164.836833531255
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5756350.380112501|mean:19187.834600375
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5784811.463240625|mean:19282.70487746875
best_fitness:27271.810528125006|best_individual:[[4780.00 HP]~[15.74 HP%]~[11.66 DEF%]~[17.51 ATK]~[37.04 DEF]-[311.00 ATK]~[18.65 CD]~[20.98 EM]~[6.56 DEF%]~[15.15 HP%]-[46.60 HP%]~[5.83 ER]~[10.93 DEF%]~[11.66 CD]~[44.74 ATK]-[46.60 HP%]~[6.99 CD]~[6.61 CR]~[10.49 ATK%]~[17.49 ER]-[46.60 HP%]~[10.88 CD]~[13.85 DEF%]~[39.63 EM]~[5.83 CR]]|sum:5778355.738500001|mean:19261.185795
best_fitness:27309.200118750006|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[16.32 EM]~[16.32 ATK%]~[13.12 DEF%]~[7.78 CR]-[46.60 HP%]~[60.18 DEF]~[5.44 CD]~[12.39 DEF%]~[27.24 ATK]]|sum:5796744.446146876|mean:19322.481487156252
best_fitness:27309.200118750006|best_individual:[[4780.00 HP]~[58.35 ATK]~[5.44 CD]~[6.56 DEF%]~[15.74 HP%]-[311.00 ATK]~[20.20 CD]~[5.10 DEF%]~[20.98 EM]~[15.74 HP%]-[46.60 HP%]~[5.25 ATK%]~[9.72 CR]~[23.15 DEF]~[19.68 DEF%]-[46.60 HP%]~[16.32 EM]~[16.32 ATK%]~[13.12 DEF%]~[7.78 CR]-[46.60 HP%]~[60.18 DEF]~[5.44 CD]~[12.39 DEF%]~[27.24 ATK]]|sum:5786654.960175|mean:19288.84986725
