best_fitness:25868.116575000007|best_individual:[[4780.00 HP]~[16.76 DEF%]~[29.18 ATK]~[5.83 ATK%]~[8.74 HP%]-[311.00 ATK]~[46.62 EM]~[25.51 DEF%]~[20.83 DEF]~[5.44 CD]-[46.60 HP%]~[10.49 ATK%]~[13.85 DEF%]~[6.22 CD]~[52.52 ATK]-[46.60 HP%]~[11.66 ATK%]~[10.20 DEF%]~[15.54 ER]~[18.65 EM]-[46.60 HP%]~[16.32 EM]~[5.83 CR]~[52.52 ATK]~[11.66 CD]]|sum:5774336.040646875|mean:19247.78680215625
best_fitness:26385.867346875002|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 ATK%]~[32.64 EM]~[12.31 ER]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5740187.303690625|mean:19133.957678968753
best_fitness:26385.867346875002|best_individual:[[4780.00 HP]~[7.00 CR]~[9.91 ATK%]~[32.64 EM]~[12.31 ER]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[4.08 ATK%]~[5.44 CD]~[22.02 ER]~[39.35 DEF]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5757166.613887501|mean:19190.555379625002
best_fitness:27050.641593750002|best_individual:[[4780.00 HP]~[48.64 ATK]~[4.66 ATK%]~[11.66 DEF%]~[10.49 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[16.84 ER]~[31.13 ATK]~[5.83 CR]~[6.22 CD]-[46.60 HP%]~[48.63 ATK]~[2.72 CR]~[39.63 EM]~[39.35 DEF]]|sum:5759863.1004656255|mean:19199.54366821875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[16.32 ATK%]~[5.44 CD]~[12.82 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[32.64 EM]~[18.95 DEF%]~[6.22 CD]~[6.61 CR]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5757872.580056251|mean:19192.908600187504
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[16.32 ATK%]~[5.44 CD]~[12.82 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[32.64 EM]~[18.95 DEF%]~[6.22 CD]~[6.61 CR]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5789238.0105375005|mean:19297.460035125
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[16.32 ATK%]~[5.44 CD]~[12.82 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[32.64 EM]~[18.95 DEF%]~[6.22 CD]~[6.61 CR]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5823608.55015|mean:19412.028500499997
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[16.32 ATK%]~[5.44 CD]~[12.82 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[32.64 EM]~[18.95 DEF%]~[6.22 CD]~[6.61 CR]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5847683.010459376|mean:19492.276701531253
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[16.32 ATK%]~[5.44 CD]~[12.82 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[32.64 EM]~[18.95 DEF%]~[6.22 CD]~[6.61 CR]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5856401.756015626|mean:19521.339186718753
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[16.32 ATK%]~[5.44 CD]~[12.82 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[32.64 EM]~[18.95 DEF%]~[6.22 CD]~[6.61 CR]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5828464.12715625|mean:19428.2137571875
best_fitness:27198.298790625002|best_individual:[[4780.00 HP]~[20.98 EM]~[16.32 ATK%]~[5.44 CD]~[12.82 HP%]-[311.00 ATK]~[18.95 DEF%]~[5.25 ATK%]~[16.91 HP%]~[16.32 EM]-[46.60 HP%]~[52.52 ATK]~[6.48 ER]~[16.32 EM]~[18.95 DEF%]-[46.60 HP%]~[32.64 EM]~[18.95 DEF%]~[6.22 CD]~[6.61 CR]-[46.60 HP%]~[16.32 EM]~[17.51 ATK]~[27.97 CD]~[41.66 DEF]]|sum:5845530.257250002|mean:19485.100857500005
