best_fitness:26274.966018750005|best_individual:[[4780.00 HP]~[16.76 DEF%]~[2.72 CR]~[11.66 CD]~[9.91 ATK%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[18.65 ATK%]~[3.50 CR]~[41.96 EM]~[20.83 DEF]-[46.60 HP%]~[13.99 ATK%]~[18.65 EM]~[5.83 DEF%]~[9.72 CR]]|sum:5762301.662240625|mean:19207.67220746875
best_fitness:26644.425871875002|best_individual:[[4780.00 HP]~[44.75 ATK]~[6.56 DEF%]~[8.74 ATK%]~[9.91 HP%]-[311.00 ATK]~[11.08 HP%]~[16.20 DEF]~[15.16 ATK%]~[10.20 DEF%]-[46.60 HP%]~[7.29 DEF%]~[17.51 ATK]~[18.79 ER]~[19.43 CD]-[46.60 HP%]~[39.35 DEF]~[20.98 CD]~[13.62 ATK]~[41.96 EM]-[46.60 HP%]~[17.51 ATK]~[5.83 ATK%]~[55.95 EM]~[14.24 ER]]|sum:5780841.19569375|mean:19269.4706523125
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5785189.161478126|mean:19283.963871593754
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5781203.050884375|mean:19270.67683628125
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5772438.677353125|mean:19241.462257843752
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5770256.772937501|mean:19234.189243125
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5781807.621553125|mean:19272.69207184375
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5806136.838056251|mean:19353.789460187505
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5823016.653918751|mean:19410.055513062503
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5829944.501456251|mean:19433.148338187504
best_fitness:27235.68838125|best_individual:[[4780.00 HP]~[4.66 ATK%]~[7.00 CR]~[11.01 ER]~[15.16 HP%]-[311.00 ATK]~[16.20 DEF]~[11.66 DEF%]~[44.29 EM]~[15.16 HP%]-[46.60 HP%]~[37.03 DEF]~[27.24 ATK]~[7.78 CR]~[10.93 DEF%]-[46.60 HP%]~[31.12 ATK]~[3.11 CR]~[11.01 ER]~[53.62 EM]-[46.60 HP%]~[9.91 ATK%]~[41.96 EM]~[21.75 CD]~[7.29 DEF%]]|sum:5804466.3471937515|mean:19348.221157312506
